experiment_name,status,is_complete,dataset_name,model_name,scenario_name,optimizer_name,base_optimizer,run_id,n_samples,seq_len,vocab_size,num_classes,mean_length,max_length,d_model,nhead,num_layers,dim_feedforward,dropout,pooling,mode,target,alpha,beta,mix_lambda,start_epoch,lr,weight_decay,fractional,exp_dir,history_path,log_path,initial_model_path,best_model_path,final_model_path,has_history_json,has_log_txt,has_initial_model_pt,has_best_model_pt,has_final_model_pt,n_epochs_recorded,best_epoch,best_val_macro_f1,best_val_accuracy,best_val_loss,best_val_micro_f1,best_val_weighted_f1,best_val_confidence,final_val_macro_f1,final_val_accuracy,final_val_loss,final_val_micro_f1,final_val_weighted_f1,final_val_confidence,final_train_macro_f1,final_train_accuracy,final_train_loss,mean_grad_norm,mean_fractional_applied_params,mean_epoch_time,total_epoch_time,mean_throughput,log_best_epoch,log_best_val_macro_f1,log_best_val_acc,log_best_val_loss,log_total_run_time_sec
runs_transformer_fractional,complete,True,small_D2_L64,T_wide_mean,adamw,adamw,adamw,0,5000,64,19,10,22.045799255371094,32,192,6,3,768,0.1,mean,,,,,,,0.0003,0.01,0.0,/home/tahiti/Malashin_Projects/runs_transformer_fractional/small_D2_L64/T_wide_mean/adamw/run_0,/home/tahiti/Malashin_Projects/runs_transformer_fractional/small_D2_L64/T_wide_mean/adamw/run_0/history.json,/home/tahiti/Malashin_Projects/runs_transformer_fractional/small_D2_L64/T_wide_mean/adamw/run_0/log.txt,/home/tahiti/Malashin_Projects/runs_transformer_fractional/small_D2_L64/T_wide_mean/adamw/run_0/initial_model.pt,/home/tahiti/Malashin_Projects/runs_transformer_fractional/small_D2_L64/T_wide_mean/adamw/run_0/best_model.pt,/home/tahiti/Malashin_Projects/runs_transformer_fractional/small_D2_L64/T_wide_mean/adamw/run_0/final_model.pt,True,True,True,True,True,10,10,0.3222256493902294,0.3650000095367431,1.769599500656128,0.3649999999994996,0.3622175463007872,0.4383516941070556,0.3222256493902294,0.3650000095367431,1.769599500656128,0.3649999999994996,0.3622175463007872,0.4383516941070556,0.3876806069916868,0.4440000057220459,1.521636583328247,2.12252378310027,,49.69951455593109,496.9951455593109,80.49211836171246,10,0.322226,0.365,1.7696,497.05
runs_fractional_hypothesis_v2,complete,True,small_D2_L64,T_wide_mean,baseline_adamw,baseline_adamw,adamw,1,5000,64,19,10,22.045799255371094,32,192,6,3,768,0.1,mean,none,none,,,0.0,,0.0003,0.01,,/home/tahiti/Malashin_Projects/runs_fractional_hypothesis_v2/small_D2_L64/T_wide_mean/baseline_adamw/run_1,/home/tahiti/Malashin_Projects/runs_fractional_hypothesis_v2/small_D2_L64/T_wide_mean/baseline_adamw/run_1/history.json,/home/tahiti/Malashin_Projects/runs_fractional_hypothesis_v2/small_D2_L64/T_wide_mean/baseline_adamw/run_1/log.txt,/home/tahiti/Malashin_Projects/runs_fractional_hypothesis_v2/small_D2_L64/T_wide_mean/baseline_adamw/run_1/initial_model.pt,/home/tahiti/Malashin_Projects/runs_fractional_hypothesis_v2/small_D2_L64/T_wide_mean/baseline_adamw/run_1/best_model.pt,/home/tahiti/Malashin_Projects/runs_fractional_hypothesis_v2/small_D2_L64/T_wide_mean/baseline_adamw/run_1/final_model.pt,True,True,True,True,True,10,10,0.3019691190225733,0.3569999933242798,1.8161285400390623,0.3569999999994996,0.3490993428756497,0.3490560159683227,0.3019691190225733,0.3569999933242798,1.8161285400390623,0.3569999999994996,0.3490993428756497,0.3490560159683227,0.3039362079998476,0.3700000047683716,1.737883927345276,1.473949433171565,0.0,0.9905595302581788,9.905595302581789,7256.686630783069,10,0.301969,0.357,1.816129,9.97
runs_fractional_focused_final,complete,True,small_D2_L64,T_base_mean,all_mix_a08_lam020,all_mix_a08_lam020,adamw,1,5000,64,19,10,22.045799255371094,32,128,4,3,512,0.1,mean,mix,all,0.8,0.9,0.02,1.0,0.0003,0.01,,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/small_D2_L64/T_base_mean/all_mix_a08_lam020/run_1,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/small_D2_L64/T_base_mean/all_mix_a08_lam020/run_1/history.json,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/small_D2_L64/T_base_mean/all_mix_a08_lam020/run_1/log.txt,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/small_D2_L64/T_base_mean/all_mix_a08_lam020/run_1/initial_model.pt,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/small_D2_L64/T_base_mean/all_mix_a08_lam020/run_1/best_model.pt,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/small_D2_L64/T_base_mean/all_mix_a08_lam020/run_1/final_model.pt,True,True,True,True,True,10,10,0.3005282679904493,0.3659999966621399,1.816926248550415,0.3659999999994996,0.3480866695557122,0.3461364784240722,0.3005282679904493,0.3659999966621399,1.816926248550415,0.3659999999994996,0.3480866695557122,0.3461364784240722,0.2703827071657235,0.3415000140666961,1.82760999584198,1.2377756309178758,42.0,1.275073504447937,12.75073504447937,3985.345041603371,10,0.300528,0.366,1.816926,12.82
runs_fractional_scenarios,complete,True,small_D2_L64,T_deep_mean,baseline_adamw,baseline_adamw,adamw,1,5000,64,19,10,22.045799255371094,32,128,4,5,512,0.15,mean,none,none,,,0.0,,0.0003,0.01,,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_deep_mean/baseline_adamw/run_1,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_deep_mean/baseline_adamw/run_1/history.json,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_deep_mean/baseline_adamw/run_1/log.txt,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_deep_mean/baseline_adamw/run_1/initial_model.pt,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_deep_mean/baseline_adamw/run_1/best_model.pt,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_deep_mean/baseline_adamw/run_1/final_model.pt,True,True,True,True,True,10,6,0.2958246094321054,0.3630000054836273,1.8831316776275635,0.3629999999994996,0.3358200513587713,0.3471190814971924,0.275702851487176,0.3549999892711639,1.8609768228530883,0.3549999999994996,0.3140203411174082,0.4056957683563232,0.280557832257337,0.3527500033378601,1.7971952257156372,1.3004408546935666,0.0,1.6920974016189576,16.920974016189575,2701.43848372557,6,0.295825,0.363,1.883132,16.97
runs_fractional_hypothesis_v2,complete,True,base_D3_L128,T_deep_mean,all_mix_a08_lam015,all_mix_a08_lam015,adamw,1,10000,128,19,10,67.18820190429688,119,128,4,5,512,0.15,mean,mix,all,0.8,0.9,0.15,1.0,0.0003,0.01,,/home/tahiti/Malashin_Projects/runs_fractional_hypothesis_v2/base_D3_L128/T_deep_mean/all_mix_a08_lam015/run_1,/home/tahiti/Malashin_Projects/runs_fractional_hypothesis_v2/base_D3_L128/T_deep_mean/all_mix_a08_lam015/run_1/history.json,/home/tahiti/Malashin_Projects/runs_fractional_hypothesis_v2/base_D3_L128/T_deep_mean/all_mix_a08_lam015/run_1/log.txt,/home/tahiti/Malashin_Projects/runs_fractional_hypothesis_v2/base_D3_L128/T_deep_mean/all_mix_a08_lam015/run_1/initial_model.pt,/home/tahiti/Malashin_Projects/runs_fractional_hypothesis_v2/base_D3_L128/T_deep_mean/all_mix_a08_lam015/run_1/best_model.pt,/home/tahiti/Malashin_Projects/runs_fractional_hypothesis_v2/base_D3_L128/T_deep_mean/all_mix_a08_lam015/run_1/final_model.pt,True,True,True,True,True,10,9,0.1712624475792873,0.3019999861717224,1.9897540187835692,0.3019999999994999,0.2517369021564607,0.2663661870956421,0.0959214570663365,0.2955000102519989,2.0114898586273195,0.2954999999994999,0.182452984521246,0.3801128988265991,0.1486292553630605,0.301499992609024,1.96399191570282,0.9600438653085946,66.0,4.4272602796554565,44.272602796554565,1883.389014353692,9,0.171262,0.302,1.989754,44.37
runs_fractional_focused_final,complete,True,base_D3_L128,T_deep_mean,emb_replace_a060,emb_replace_a060,adamw,4,10000,128,19,10,67.18820190429688,119,128,4,5,512,0.15,mean,replace,embeddings,0.6,0.9,1.0,1.0,0.0003,0.01,,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_deep_mean/emb_replace_a060/run_4,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_deep_mean/emb_replace_a060/run_4/history.json,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_deep_mean/emb_replace_a060/run_4/log.txt,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_deep_mean/emb_replace_a060/run_4/initial_model.pt,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_deep_mean/emb_replace_a060/run_4/best_model.pt,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_deep_mean/emb_replace_a060/run_4/final_model.pt,True,True,True,True,True,10,10,0.1701097741535958,0.2764999866485595,2.027922996520996,0.2764999999994998,0.2575514941236433,0.246404706954956,0.1701097741535958,0.2764999866485595,2.027922996520996,0.2764999999994998,0.2575514941236433,0.246404706954956,0.1512868065482358,0.2989999949932098,1.9617441730499268,1.1507668413343874,2.0,4.164545369148255,41.645453691482544,2063.6702030843294,10,0.17011,0.2765,2.027923,41.74
runs_transformer_fractional,complete,True,base_D3_L128,T_small_mean,rmsprop,rmsprop,rmsprop,2,10000,128,19,10,67.18820190429688,119,96,4,2,256,0.1,mean,,,,,,,0.001,0.0,0.0,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_small_mean/rmsprop/run_2,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_small_mean/rmsprop/run_2/history.json,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_small_mean/rmsprop/run_2/log.txt,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_small_mean/rmsprop/run_2/initial_model.pt,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_small_mean/rmsprop/run_2/best_model.pt,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_small_mean/rmsprop/run_2/final_model.pt,True,True,True,True,True,10,9,0.1590593817164541,0.2775000035762787,2.0275366172790528,0.2774999999994998,0.2499138233828758,0.3095494809150695,0.1220378790316204,0.2964999973773956,2.0438873825073243,0.2964999999994999,0.20924384817911,0.3626685175895691,0.2061039014910116,0.3328750133514404,1.8794789066314697,1.2786233200902568,,52.33391878604889,523.3391878604889,152.87196121047015,9,0.159059,0.2775,2.027537,523.36
runs_fractional_scenarios,complete,True,base_D3_L128,T_wide_mean,delayed_mixed_head_a08_lam025_warm3,delayed_mixed_head_a08_lam025_warm3,adamw,1,10000,128,19,10,67.18820190429688,119,192,6,3,768,0.1,mean,mix,head,0.8,0.9,0.25,4.0,0.0003,0.01,,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/base_D3_L128/T_wide_mean/delayed_mixed_head_a08_lam025_warm3/run_1,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/base_D3_L128/T_wide_mean/delayed_mixed_head_a08_lam025_warm3/run_1/history.json,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/base_D3_L128/T_wide_mean/delayed_mixed_head_a08_lam025_warm3/run_1/log.txt,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/base_D3_L128/T_wide_mean/delayed_mixed_head_a08_lam025_warm3/run_1/initial_model.pt,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/base_D3_L128/T_wide_mean/delayed_mixed_head_a08_lam025_warm3/run_1/best_model.pt,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/base_D3_L128/T_wide_mean/delayed_mixed_head_a08_lam025_warm3/run_1/final_model.pt,True,True,True,True,True,10,10,0.155259704945453,0.2870000004768371,1.9966118087768556,0.2869999999994999,0.2415770042821965,0.2706554460525512,0.155259704945453,0.2870000004768371,1.9966118087768556,0.2869999999994999,0.2415770042821965,0.2706554460525512,0.1790640099644905,0.3158749938011169,1.9297158012390137,1.1649586123948172,1.4,3.385658526420593,33.85658526420593,2522.386951718618,10,0.15526,0.287,1.996612,33.93
runs_transformer_fractional,complete,True,hard_D4_L160,T_wide_mean,adam,adam,adam,2,12000,160,19,10,150.64700317382812,160,192,6,3,768,0.1,mean,,,,,,,0.0003,0.0,0.0,/home/tahiti/Malashin_Projects/runs_transformer_fractional/hard_D4_L160/T_wide_mean/adam/run_2,/home/tahiti/Malashin_Projects/runs_transformer_fractional/hard_D4_L160/T_wide_mean/adam/run_2/history.json,/home/tahiti/Malashin_Projects/runs_transformer_fractional/hard_D4_L160/T_wide_mean/adam/run_2/log.txt,/home/tahiti/Malashin_Projects/runs_transformer_fractional/hard_D4_L160/T_wide_mean/adam/run_2/initial_model.pt,/home/tahiti/Malashin_Projects/runs_transformer_fractional/hard_D4_L160/T_wide_mean/adam/run_2/best_model.pt,/home/tahiti/Malashin_Projects/runs_transformer_fractional/hard_D4_L160/T_wide_mean/adam/run_2/final_model.pt,True,True,True,True,True,10,8,0.1200090410929053,0.3425000011920929,1.9376189994812008,0.3424999999994998,0.2576046697881449,0.3193878757953644,0.1136366762141481,0.3400000035762787,1.9662307167053223,0.3399999999994998,0.2496841384359131,0.3723493353525797,0.1323654673177134,0.3465625047683716,1.8876637268066403,1.8123536490166168,,159.99686002731323,1599.9686002731323,60.00962801808929,8,0.120009,0.3425,1.937619,1600.33
runs_fractional_scenarios,complete,True,hard_D4_L160,T_wide_mean,embeddings_only_replace_a08,embeddings_only_replace_a08,adamw,0,12000,160,19,10,150.64700317382812,160,192,6,3,768,0.1,mean,replace,embeddings,0.8,0.9,1.0,1.0,0.0003,0.01,,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/hard_D4_L160/T_wide_mean/embeddings_only_replace_a08/run_0,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/hard_D4_L160/T_wide_mean/embeddings_only_replace_a08/run_0/history.json,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/hard_D4_L160/T_wide_mean/embeddings_only_replace_a08/run_0/log.txt,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/hard_D4_L160/T_wide_mean/embeddings_only_replace_a08/run_0/initial_model.pt,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/hard_D4_L160/T_wide_mean/embeddings_only_replace_a08/run_0/best_model.pt,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/hard_D4_L160/T_wide_mean/embeddings_only_replace_a08/run_0/final_model.pt,True,True,True,True,True,10,10,0.1190690572227247,0.3420833349227905,1.9403574752807615,0.3420833333328332,0.2556483966664221,0.3143714825312296,0.1190690572227247,0.3420833349227905,1.9403574752807615,0.3420833333328332,0.2556483966664221,0.3143714825312296,0.1078193020353753,0.3448958396911621,1.915765986442566,1.2205246314692109,2.0,4.650284123420716,46.50284123420715,2191.8866748385767,10,0.119069,0.342083,1.940357,46.56
