scenario_name,mode,target,alpha,beta,mix_lambda,start_epoch,best_val_macro_f1_count,best_val_macro_f1_mean,best_val_macro_f1_std,best_val_macro_f1_min,best_val_macro_f1_max,best_val_accuracy_count,best_val_accuracy_mean,best_val_accuracy_std,best_val_accuracy_min,best_val_accuracy_max,best_val_loss_count,best_val_loss_mean,best_val_loss_std,best_val_loss_min,best_val_loss_max,final_val_macro_f1_count,final_val_macro_f1_mean,final_val_macro_f1_std,final_val_macro_f1_min,final_val_macro_f1_max,final_val_accuracy_count,final_val_accuracy_mean,final_val_accuracy_std,final_val_accuracy_min,final_val_accuracy_max,final_val_loss_count,final_val_loss_mean,final_val_loss_std,final_val_loss_min,final_val_loss_max,mean_epoch_time_count,mean_epoch_time_mean,mean_epoch_time_std,mean_epoch_time_min,mean_epoch_time_max,mean_throughput_count,mean_throughput_mean,mean_throughput_std,mean_throughput_min,mean_throughput_max
adamw,,,,,,,45,0.17268362991840783,0.08018658350535907,0.086571547295504,0.3222256493902294,45,0.3229851855172051,0.029586377049565737,0.270000010728836,0.367000013589859,45,1.93255809812899,0.07907859495796452,1.769599500656128,2.029912137031556,45,0.16756336365891744,0.08060077348620502,0.0708838799614737,0.3222256493902294,45,0.32141296598646374,0.030501852006061266,0.2680000066757202,0.3650000095367431,45,1.934633325541461,0.08599432635204059,1.769599500656128,2.073798969268799,45,92.10825580173069,58.762096248361146,11.619216561317444,213.01436669826504,45,109.90673944794354,72.2169477994302,37.558465638697314,345.47769297264074
adam,,,,,,,45,0.17065900540790993,0.07654192364174714,0.0734452374697875,0.3106813111303615,45,0.3211925917201572,0.028932080922330336,0.2664999961853027,0.3689999878406524,45,1.9377914298658017,0.07472934261342697,1.7981002178192138,2.058444910049438,45,0.16068775070836783,0.0767810786213199,0.068809137694609,0.2880167780495036,45,0.31938518616888256,0.028814355528939854,0.2664999961853027,0.3610000014305115,45,1.9460741530029861,0.07578323891210106,1.8128321609497071,2.0663286209106446,45,92.36703897635141,58.850533018368154,12.282637214660644,214.120458483696,45,109.14103832728235,70.51332514604643,37.36480899908581,326.98868716717016
delayed_head_mix_a08_lam010_warm3,mix,head,0.8,0.9,0.1,4.0,45,0.1640849709720689,0.07430634366872077,0.0772794526433853,0.2937318218480474,45,0.32183888819482587,0.02334062695488792,0.2560000121593475,0.3587499856948852,45,1.9414943366156683,0.055957625246358667,1.8367526264190677,2.0376890716552736,45,0.15670234831035723,0.07559827459708682,0.0576275695305452,0.276670752568545,45,0.32208518650796675,0.02319440213385358,0.2560000121593475,0.356000006198883,45,1.9384347581227621,0.057184423727911486,1.82548090171814,2.0376890716552736,45,2.7162434482574462,1.4049690551487837,0.7413759708404541,6.34107084274292,45,3758.495371697405,1847.9772345194217,1547.2077416651869,11717.914907953897
embeddings_only_replace_a08,replace,embeddings,0.8,0.9,1.0,1.0,45,0.164054120034471,0.0750685081709388,0.0731980961326178,0.2927786429199635,45,0.32306296295589865,0.02347700091152566,0.2820000052452087,0.3610000014305115,45,1.93878460682763,0.06594323689689056,1.7737584342956545,2.0490608177185057,45,0.1536480422394127,0.07711055057864705,0.0515540998882724,0.2813154981562771,45,0.3219962941275702,0.023999822916269068,0.2804999947547912,0.3580000102519989,45,1.9354661564932931,0.06547269916466468,1.7902750310897828,2.0350994358062744,45,4.090337592230903,3.409035812290195,1.1523696899414062,15.350623440742492,45,3020.702160968523,1666.711843065035,261.16432956561835,8308.659784752605
emb_mix_a08_lam005,mix,embeddings,0.8,0.9,0.05,1.0,45,0.16397570024808214,0.07461131195885203,0.0792535051154369,0.2770617974046295,45,0.31880926092465717,0.025113585043835523,0.2594999969005584,0.3600000143051147,45,1.9480512453926935,0.05735669972192507,1.8110049209594727,2.055795174598694,45,0.15285408469089037,0.0744478661472883,0.0600374229405512,0.2697707791549933,45,0.3180555562178293,0.025325458665829286,0.2569999992847442,0.3495833277702331,45,1.9436185896131728,0.06098076977182583,1.811067907333374,2.052993689537048,45,2.737809443473816,1.484271332295004,0.7593287467956543,6.119580364227295,45,3966.200928526768,2015.943194839169,1603.7059789188156,10822.878827250051
delayed_emb_mix_a08_lam025_warm3,mix,embeddings,0.8,0.9,0.25,4.0,45,0.16385994865222267,0.07440875557934035,0.0830145302559666,0.2864244110195512,45,0.31730370256635876,0.022412478723456832,0.2644999921321869,0.3504166603088379,45,1.9528614784028795,0.04746685154127126,1.8391811733245849,2.0324549522399904,45,0.15158582479619878,0.07121968064916381,0.0661234556105091,0.27727148154747,45,0.31820370554924005,0.022106603004870034,0.2804999947547912,0.3549999892711639,45,1.944688020324707,0.056579989704893294,1.8314554290771483,2.043676532745361,45,2.8117657301161025,1.4881626283726366,0.9233970403671264,6.179776549339294,45,3566.5705197662382,1370.3011261724348,1581.0156851878182,6926.273706846427
emb_mix_a08_lam010,mix,embeddings,0.8,0.9,0.1,1.0,45,0.16365333895124315,0.07498733945837384,0.0789126642034732,0.2946631691392392,45,0.320309258169598,0.024389506805227047,0.2615000009536743,0.3589999973773956,45,1.9465983080122204,0.055098109294963414,1.8372248830795288,2.030862564086914,45,0.15679659480682837,0.07514417382655925,0.0758405310546265,0.2683502081124236,45,0.31918148133489815,0.024207195947905952,0.2745000123977661,0.3529999852180481,45,1.943478838306003,0.06048359500377236,1.8372248830795288,2.051043632507324,45,2.8024668322669135,1.4700412418628717,0.7410387992858887,6.076698613166809,45,3706.16275963941,1910.572715922423,1616.1022810304516,12617.969249057613
all_mix_a08_lam025,mix,all,0.8,0.9,0.25,1.0,45,0.16363219277013272,0.07440344192705575,0.0805184798755416,0.2887508206137218,45,0.31823889083332485,0.024589590341193318,0.2759999930858612,0.3540000021457672,45,1.9493763984044392,0.05642359128369204,1.8239042291641236,2.0350762405395506,45,0.15485605486958814,0.07688472384346356,0.0546303745083627,0.287178267983211,45,0.31784815059767824,0.024045362634146743,0.2750000059604645,0.3474999964237213,45,1.9461854489432442,0.058669212867592704,1.8044551696777344,2.0350762405395506,45,2.8586889436509875,1.509987309273268,0.8357250928878784,6.361349248886109,45,3568.5939574737554,1559.8679781657506,1547.6999864310972,8972.322496251076
emb_mix_a08_lam015,mix,embeddings,0.8,0.9,0.015,1.0,75,0.1636097358964056,0.0749058949228904,0.075643824724166,0.2895960174329208,75,0.32020444353421523,0.023383571210795335,0.2730000019073486,0.3524999916553497,75,1.9487809969075522,0.05063454192161638,1.8233835735321045,2.0445971450805662,75,0.15478679443010435,0.07682580059038453,0.0593749082742303,0.2847682037086822,75,0.3200533330440521,0.02325919894603464,0.2730000019073486,0.3610000014305115,75,1.9427390263493856,0.05600015322435133,1.8041858654022216,2.0445971450805662,75,2.3932262134552,1.1054179330188565,0.7413085460662842,4.733900809288025,75,4195.286117979944,1766.0821659695882,1930.2708793422032,11622.898007328728
emb_replace_a09,replace,embeddings,0.9,0.9,1.0,1.0,45,0.16332578793705402,0.07401486935979987,0.0758464051294811,0.2902675717505522,45,0.3216370377275679,0.021987587050643822,0.2870000004768371,0.3619999885559082,45,1.9407958048290677,0.0525444385639481,1.8225796451568603,2.0131870346069336,45,0.1536441254928048,0.07788223045693042,0.0601272342532928,0.2902675717505522,45,0.32167222036255727,0.023026414457103364,0.2845000028610229,0.3619999885559082,45,1.9391754422929552,0.05672753096378587,1.8225796451568603,2.031949815750122,45,2.7971082560221356,1.4995727805846184,0.9028561115264891,6.120442366600036,45,3696.313941104662,1559.2061890263471,1603.4735718414051,8175.468451361923
