scenario_name,scenario_family,mode,target,alpha,beta,mix_lambda,start_epoch,trainable_scope,best_test_macro_f1_at_best_val_count,best_test_macro_f1_at_best_val_mean,best_test_macro_f1_at_best_val_std,best_test_macro_f1_at_best_val_min,best_test_macro_f1_at_best_val_max,best_val_macro_f1_mean,final_test_macro_f1_mean,mean_nonfinite_grad_tensors_mean,total_nonfinite_train_loss_batches_mean,mean_fractional_applied_params_mean,delta_test_macro_f1_vs_baseline_count,delta_test_macro_f1_vs_baseline_mean,delta_test_macro_f1_vs_baseline_std,delta_test_macro_f1_vs_baseline_min,delta_test_macro_f1_vs_baseline_max,beats_baseline_test_macro_f1_mean,beats_baseline_test_macro_f1_sum
emb_replace_a050,embedding_alpha_sweep_replace,replace,embeddings,0.5,0.9,1.0,1.0,all,60,0.7867161073970724,0.15708456570006982,0.48378807785527034,0.9434438448816942,0.8011508134877343,0.7816354655626803,0.0006150192054646077,0.0,5.25,60.0,0.015559278489288902,0.03667903089963018,-0.02360253454600303,0.12742945252268095,0.45,27.0
emb_replace_a060,embedding_alpha_sweep_replace,replace,embeddings,0.6,0.9,1.0,1.0,all,60,0.7851760429726453,0.16000579034978718,0.4554329217838123,0.9448568918486837,0.8005810492830382,0.7802401312705496,0.0006333697608266574,0.0,5.25,60.0,0.01401921406486188,0.03941845480147652,-0.026952173266741486,0.1734916075992421,0.48333333333333334,29.0
emb_replace_a080,embedding_alpha_sweep_replace,replace,embeddings,0.8,0.9,1.0,1.0,all,60,0.7843454539190934,0.16065485614211694,0.4654824228010165,0.9434993458742296,0.7999605094844217,0.7663121255587133,0.0010197879711745057,26.483333333333334,5.25,60.0,0.013188625011309943,0.03294103799447059,-0.018663449631212692,0.13771070935377733,0.45,27.0
emb_replace_a090,embedding_alpha_sweep_replace,replace,embeddings,0.9,0.9,1.0,1.0,all,60,0.7841844226217305,0.16149559397312896,0.4649985628666654,0.9431099227309179,0.7995423430250662,0.7725431110607037,0.010417527768102479,4.116666666666666,5.25,60.0,0.013027593713947041,0.03734594039126687,-0.020987056535264448,0.13283403075737354,0.35,21.0
emb_replace_a070,embedding_alpha_sweep_replace,replace,embeddings,0.7,0.9,1.0,1.0,all,60,0.7834162316066096,0.1609402042939157,0.4782884120273917,0.9438175481302062,0.7985449632852141,0.779333275824363,0.0006581949282092961,0.0,5.25,60.0,0.012259402698826057,0.03816297627991712,-0.022705190767987715,0.14560913908418466,0.4,24.0
emb_mix_a08_lam015,embedding_weak_mix,mix,embeddings,0.8,0.9,0.015,1.0,all,60,0.7719202189625339,0.18545493672497923,0.38119361884885383,0.9459254322299672,0.7807596649663764,0.7499300488348047,0.0010123851467335931,76.35,5.2266666666666675,60.0,0.0007633900547505456,0.009505123211258855,-0.024831217696797747,0.03861517062669734,0.48333333333333334,29.0
emb_mix_a08_lam010,embedding_weak_mix,mix,embeddings,0.8,0.9,0.01,1.0,all,60,0.7717607794086201,0.18583457375542942,0.35820908900692866,0.9458550803068615,0.7818038539474134,0.7709060745768532,0.0005877771005069856,0.0,5.25,60.0,0.0006039505008366207,0.013515238622810195,-0.059160260311311,0.04860364391786409,0.45,27.0
baseline_adamw,baseline,none,none,,,0.0,,all,60,0.7711568289077834,0.18822142832385594,0.37877642086398444,0.9455125592647391,0.7793555241001143,0.7691762788258134,0.0005723975386044351,0.0,0.0,,,,,,,
delayed_head_mix_a08_lam010_warm1,head_mixed_control,mix,head,0.8,0.9,0.01,2.0,all,60,0.7709972499259349,0.1862477832606876,0.3708518113027013,0.945676473359571,0.7792353088340731,0.7699527294599008,0.000561956248306823,0.0,2.4,60.0,-0.0001595789818486265,0.012950241212370806,-0.02586201447927189,0.07444018592962365,0.4166666666666667,25.0
bottom1_replace_a070,bottom1_layer_replace,replace,bottom1,0.7,0.9,1.0,1.0,all,60,0.5914760972291444,0.3071891168991507,0.004063176665389044,0.9363356149138995,0.5994466840332648,0.3449712192836412,0.025233448589548953,5025.766666666666,10.666666666666666,60.0,-0.17968073167863904,0.3357191516604876,-0.8455125592648192,0.09534454043453,0.25,15.0
emb_plus_bottom1_replace_a070,embedding_plus_bottom1_replace,replace,embeddings_plus_bottom1,0.7,0.9,1.0,1.0,all,60,0.5439744735708528,0.3315139072045983,0.004063176665389044,0.9345202216693402,0.5559448278137845,0.3026690352065218,0.015195721537875052,5383.366666666667,13.01,60.0,-0.2271823553369306,0.37224978558892097,-0.8455125592648192,0.15038696074753188,0.25,15.0
bottom2_replace_a070,bottom2_layer_replace,replace,bottom2,0.7,0.9,1.0,1.0,all,60,0.4771691454815756,0.3348875452178824,0.004063176665389044,0.9214551601949235,0.4811582895654135,0.2699243761294961,0.03924631772761378,5626.166666666667,18.56,60.0,-0.29398768342620785,0.3813824094015709,-0.8455125592648192,0.11573389287365193,0.16666666666666666,10.0
negative_full_replace_a08,negative_global_replace,replace,all,0.8,0.9,1.0,1.0,all,60,0.4743659285385009,0.32474816351140695,0.004063176665389044,0.926457221493828,0.4847091357710499,0.2433417853106465,0.040433533706303156,5923.016666666666,47.46,60.0,-0.2967909003692826,0.38159579331477084,-0.8455125592648192,0.1836766383731317,0.18333333333333332,11.0
