status,is_complete,dataset_name,task_type,num_labels,model_name,model_family,model_loader,model_path,scenario_name,base_optimizer,lr,weight_decay,mode,target,alpha,beta,mix_lambda,start_epoch,trainable_scope,run_id,exp_dir,history_path,log_path,dataset_config_path,model_config_path,scenario_config_path,initial_model_path,best_model_path,final_model_path,has_history_json,has_log_txt,has_initial_model_pt,has_best_model_pt,has_final_model_pt,best_model_size_mb,final_model_size_mb,n_epochs_recorded,best_epoch,best_val_macro_f1,best_val_accuracy,best_val_loss,best_val_micro_f1,best_val_weighted_f1,best_val_confidence,best_test_macro_f1_at_best_val,best_test_accuracy_at_best_val,best_test_loss_at_best_val,best_test_micro_f1_at_best_val,best_test_weighted_f1_at_best_val,final_train_loss,final_train_accuracy,final_train_macro_f1,final_val_loss,final_val_accuracy,final_val_macro_f1,final_val_micro_f1,final_val_weighted_f1,final_test_loss,final_test_accuracy,final_test_macro_f1,final_test_micro_f1,final_test_weighted_f1,mean_grad_norm,mean_nonfinite_grad_tensors,total_nonfinite_train_loss_batches,total_nonfinite_val_loss_batches,total_nonfinite_test_loss_batches,mean_fractional_applied_params,mean_epoch_time,total_epoch_time,mean_throughput,log_best_epoch,log_best_val_macro_f1,log_best_val_acc,log_best_val_loss,log_test_macro_f1_at_best_val,log_test_acc_at_best_val,log_test_loss_at_best_val,log_total_run_time_sec,scenario_family
complete,True,ag_news,topic_classification,4,distilbert_base_uncased,distilbert,auto,/home/tahiti/Malashin_Projects/hf_models/distilbert_base_uncased,emb_mix_a08_lam015,adamw,2e-05,0.01,mix,embeddings,0.8,0.9,0.015,1.0,all,3,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_mix_a08_lam015/run_3,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_mix_a08_lam015/run_3/history.json,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_mix_a08_lam015/run_3/log.txt,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_mix_a08_lam015/run_3/dataset_config.json,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_mix_a08_lam015/run_3/model_config.json,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_mix_a08_lam015/run_3/scenario_config.json,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_mix_a08_lam015/run_3/initial_model.pt,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_mix_a08_lam015/run_3/best_model.pt,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_mix_a08_lam015/run_3/final_model.pt,True,True,False,True,False,255.46103477478027,,5,3,0.9439345530218173,0.9440833330154419,0.19066741055250166,0.944083333332833,0.9440823344048237,0.9733782533009847,0.9459254322299672,0.9459210634231567,0.18477282078642593,0.9459210526310788,0.9459254322299672,0.0499377882403356,0.9852407574653625,0.9852491899586245,0.2877183814148108,0.9409166574478149,0.9408001743286563,0.9409166666661665,0.9409296375006351,0.29235089176579526,0.9388157725334167,0.9388645887869526,0.938815789473184,0.9388645887869526,0.862771292933815,0.0005333333333333334,0.0,0.0,0.0,4.0,525.4831861495971,2627.415930747986,225.92955992931758,3,0.943935,0.944083,0.190667,0.945925,0.945921,0.184773,2629.77,embedding_weak_mix
complete,True,ag_news,topic_classification,4,distilbert_base_uncased,distilbert,auto,/home/tahiti/Malashin_Projects/hf_models/distilbert_base_uncased,emb_mix_a08_lam010,adamw,2e-05,0.01,mix,embeddings,0.8,0.9,0.01,1.0,all,3,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_mix_a08_lam010/run_3,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_mix_a08_lam010/run_3/history.json,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_mix_a08_lam010/run_3/log.txt,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_mix_a08_lam010/run_3/dataset_config.json,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_mix_a08_lam010/run_3/model_config.json,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_mix_a08_lam010/run_3/scenario_config.json,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_mix_a08_lam010/run_3/initial_model.pt,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_mix_a08_lam010/run_3/best_model.pt,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_mix_a08_lam010/run_3/final_model.pt,True,True,False,True,False,255.46103477478027,,5,2,0.948470307513675,0.9483333230018616,0.16451349063714346,0.9483333333328331,0.9483898811027884,0.9650899871190389,0.9458550803068615,0.9457894563674927,0.1702318459435513,0.9457894736837104,0.9458550803068615,0.048773581267506985,0.9860555529594421,0.9860577481330428,0.29654158775011696,0.9433333277702332,0.9434036521698319,0.9433333333328331,0.9433264356386782,0.31371604015952664,0.9386842250823975,0.9386524000796743,0.9386842105258156,0.9386524000796742,0.8643348509501827,0.0005925925925925926,0.0,0.0,0.0,4.0,771.4047855854035,3857.023927927017,140.0352283936843,2,0.94847,0.948333,0.164513,0.945855,0.945789,0.170232,3858.19,embedding_weak_mix
complete,True,ag_news,topic_classification,4,distilbert_base_uncased,distilbert,auto,/home/tahiti/Malashin_Projects/hf_models/distilbert_base_uncased,delayed_head_mix_a08_lam010_warm1,adamw,2e-05,0.01,mix,head,0.8,0.9,0.01,2.0,all,4,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/delayed_head_mix_a08_lam010_warm1/run_4,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/delayed_head_mix_a08_lam010_warm1/run_4/history.json,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/delayed_head_mix_a08_lam010_warm1/run_4/log.txt,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/delayed_head_mix_a08_lam010_warm1/run_4/dataset_config.json,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/delayed_head_mix_a08_lam010_warm1/run_4/model_config.json,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/delayed_head_mix_a08_lam010_warm1/run_4/scenario_config.json,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/delayed_head_mix_a08_lam010_warm1/run_4/initial_model.pt,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/delayed_head_mix_a08_lam010_warm1/run_4/best_model.pt,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/delayed_head_mix_a08_lam010_warm1/run_4/final_model.pt,True,True,False,True,False,255.46097373962402,,5,2,0.9483193048473924,0.9488333463668823,0.16178023767471314,0.9488333333328332,0.9488235088524752,0.9640959162712097,0.945676473359571,0.9456579089164734,0.1722075316780492,0.945657894736342,0.945676473359571,0.05028771861725383,0.9856389164924622,0.9856581229994111,0.2707370109260082,0.9436666369438171,0.9428901271035253,0.9436666666661665,0.9434145433260819,0.2875264565254513,0.942105233669281,0.9418277103208874,0.9421052631573946,0.9418277103208874,0.8668215397270684,0.00047407407407407413,0.0,0.0,0.0,3.2,849.7255218982697,4248.627609491348,146.45162212868846,2,0.948319,0.948833,0.16178,0.945676,0.945658,0.172208,4249.8,head_mixed_control
complete,True,ag_news,topic_classification,4,distilbert_base_uncased,distilbert,auto,/home/tahiti/Malashin_Projects/hf_models/distilbert_base_uncased,baseline_adamw,adamw,2e-05,0.01,none,none,,,0.0,,all,0,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/baseline_adamw/run_0,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/baseline_adamw/run_0/history.json,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/baseline_adamw/run_0/log.txt,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/baseline_adamw/run_0/dataset_config.json,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/baseline_adamw/run_0/model_config.json,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/baseline_adamw/run_0/scenario_config.json,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/baseline_adamw/run_0/initial_model.pt,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/baseline_adamw/run_0/best_model.pt,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/baseline_adamw/run_0/final_model.pt,True,True,False,True,False,255.46085166931152,,5,4,0.9471919223486432,0.9471666812896729,0.22572957123319307,0.9471666666661664,0.9471240566986507,0.9853303243319194,0.9455125592647391,0.9455263018608093,0.23332275028291502,0.9455263157889735,0.9455125592647391,0.048916695591476225,0.986037015914917,0.9860390611068199,0.2656495522360007,0.9435833096504211,0.9436530112244582,0.9435833333328332,0.9435839770246817,0.27964803720775405,0.9389473795890808,0.9389823906032746,0.9389473684205525,0.9389823906032746,0.8627853728816112,0.0005925925925925926,0.0,0.0,0.0,0.0,747.4717936515808,3737.358968257904,144.52798232779907,4,0.947192,0.947167,0.22573,0.945513,0.945526,0.233323,3740.14,baseline
complete,True,ag_news,topic_classification,4,distilbert_base_uncased,distilbert,auto,/home/tahiti/Malashin_Projects/hf_models/distilbert_base_uncased,emb_mix_a08_lam015,adamw,2e-05,0.01,mix,embeddings,0.8,0.9,0.015,1.0,all,1,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_mix_a08_lam015/run_1,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_mix_a08_lam015/run_1/history.json,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_mix_a08_lam015/run_1/log.txt,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_mix_a08_lam015/run_1/dataset_config.json,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_mix_a08_lam015/run_1/model_config.json,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_mix_a08_lam015/run_1/scenario_config.json,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_mix_a08_lam015/run_1/initial_model.pt,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_mix_a08_lam015/run_1/best_model.pt,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_mix_a08_lam015/run_1/final_model.pt,True,True,False,True,False,255.46103477478027,,5,2,0.946395608964225,0.9465000033378601,0.17428357551495235,0.9464999999995,0.9464750199902703,0.9687656588554382,0.9452924002210044,0.945263147354126,0.1766413916569007,0.9452631578942366,0.9452924002210044,0.04943116595678859,0.9857592582702637,0.9857665596482279,0.2863630395332972,0.940750002861023,0.9408307721466462,0.9407499999994998,0.9409115809569589,0.28937936848715734,0.9402631521224976,0.9404746541749096,0.9402631578942366,0.9404746541749096,0.8598209477601738,0.0007111111111111111,0.0,0.0,0.0,4.0,771.042816209793,3855.2140810489655,140.07757423550646,2,0.946396,0.9465,0.174284,0.945292,0.945263,0.176641,3856.48,embedding_weak_mix
complete,True,ag_news,topic_classification,4,distilbert_base_uncased,distilbert,auto,/home/tahiti/Malashin_Projects/hf_models/distilbert_base_uncased,emb_mix_a08_lam015,adamw,2e-05,0.01,mix,embeddings,0.8,0.9,0.015,1.0,all,2,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_mix_a08_lam015/run_2,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_mix_a08_lam015/run_2/history.json,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_mix_a08_lam015/run_2/log.txt,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_mix_a08_lam015/run_2/dataset_config.json,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_mix_a08_lam015/run_2/model_config.json,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_mix_a08_lam015/run_2/scenario_config.json,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_mix_a08_lam015/run_2/initial_model.pt,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_mix_a08_lam015/run_2/best_model.pt,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_mix_a08_lam015/run_2/final_model.pt,True,True,False,True,False,255.46103477478027,,5,2,0.9465283013951774,0.9465000033378601,0.15840024691820145,0.9464999999995,0.9464505029327985,0.9599574913978577,0.9450853543015016,0.9451315999031067,0.16589512900302283,0.9451315789468683,0.9450853543015016,0.0506749345406338,0.9854815006256104,0.9854824115902003,0.29680213882525763,0.9380833506584167,0.9379150692371793,0.9380833333328331,0.9378073787522835,0.3162981960961693,0.93671053647995,0.9364696721263699,0.9367105263152893,0.9364696721263699,0.8632069671274344,0.0005925925925925927,0.0,0.0,0.0,4.0,770.2234776496887,3851.1173882484436,140.25019014283347,2,0.946528,0.9465,0.1584,0.945085,0.945132,0.165895,3852.36,embedding_weak_mix
complete,True,ag_news,topic_classification,4,distilbert_base_uncased,distilbert,auto,/home/tahiti/Malashin_Projects/hf_models/distilbert_base_uncased,emb_mix_a08_lam010,adamw,2e-05,0.01,mix,embeddings,0.8,0.9,0.01,1.0,all,2,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_mix_a08_lam010/run_2,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_mix_a08_lam010/run_2/history.json,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_mix_a08_lam010/run_2/log.txt,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_mix_a08_lam010/run_2/dataset_config.json,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_mix_a08_lam010/run_2/model_config.json,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_mix_a08_lam010/run_2/scenario_config.json,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_mix_a08_lam010/run_2/initial_model.pt,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_mix_a08_lam010/run_2/best_model.pt,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_mix_a08_lam010/run_2/final_model.pt,True,True,False,True,False,255.46103477478027,,5,2,0.9444075140404536,0.9445833563804626,0.1726816462278366,0.9445833333328333,0.9447371498383493,0.9642873711585999,0.9448983226904457,0.9447368383407593,0.17466398750480852,0.944736842104763,0.9448983226904457,0.049111690333595984,0.9858611226081848,0.9858754200424047,0.2941466526587804,0.9389166831970215,0.9384704860370638,0.9389166666661665,0.9388270882036435,0.2962214517279675,0.9377631545066833,0.9376569587497329,0.9377631578942367,0.9376569587497329,0.8630245368972702,0.0008296296296296296,0.0,0.0,0.0,4.0,772.4210956096649,3862.1054780483246,139.8374162284838,2,0.944408,0.944583,0.172682,0.944898,0.944737,0.174664,3863.19,embedding_weak_mix
complete,True,ag_news,topic_classification,4,distilbert_base_uncased,distilbert,auto,/home/tahiti/Malashin_Projects/hf_models/distilbert_base_uncased,emb_replace_a060,adamw,2e-05,0.01,replace,embeddings,0.6,0.9,1.0,1.0,all,2,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_replace_a060/run_2,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_replace_a060/run_2/history.json,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_replace_a060/run_2/log.txt,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_replace_a060/run_2/dataset_config.json,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_replace_a060/run_2/model_config.json,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_replace_a060/run_2/scenario_config.json,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_replace_a060/run_2/initial_model.pt,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_replace_a060/run_2/best_model.pt,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/emb_replace_a060/run_2/final_model.pt,True,True,False,True,False,255.46103477478027,,5,2,0.9465065009641239,0.9468333125114441,0.17631706072886785,0.9468333333328331,0.9467919686051114,0.9698174366950989,0.9448568918486837,0.9448684453964233,0.18358741732020128,0.9448684210521314,0.9448568918486838,0.031262440841507026,0.9916296005249023,0.9916359023368868,0.3072546344995499,0.9380833506584167,0.9377000182817884,0.9380833333328331,0.9380466402746512,0.3179214229866078,0.9352631568908691,0.9352476224391857,0.9352631578942366,0.9352476224391857,0.6948980922890878,0.0004740740740740741,0.0,0.0,0.0,4.0,957.84679479599,4789.23397397995,112.75479325689176,2,0.946507,0.946833,0.176317,0.944857,0.944868,0.183587,4790.45,embedding_alpha_sweep_replace
complete,True,ag_news,topic_classification,4,electra_small_discriminator,electra,auto,/home/tahiti/Malashin_Projects/hf_models/electra_small_discriminator,emb_mix_a08_lam010,adamw,2e-05,0.01,mix,embeddings,0.8,0.9,0.01,1.0,all,1,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/electra_small_discriminator/emb_mix_a08_lam010/run_1,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/electra_small_discriminator/emb_mix_a08_lam010/run_1/history.json,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/electra_small_discriminator/emb_mix_a08_lam010/run_1/log.txt,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/electra_small_discriminator/emb_mix_a08_lam010/run_1/dataset_config.json,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/electra_small_discriminator/emb_mix_a08_lam010/run_1/model_config.json,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/electra_small_discriminator/emb_mix_a08_lam010/run_1/scenario_config.json,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/electra_small_discriminator/emb_mix_a08_lam010/run_1/initial_model.pt,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/electra_small_discriminator/emb_mix_a08_lam010/run_1/best_model.pt,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/electra_small_discriminator/emb_mix_a08_lam010/run_1/final_model.pt,True,True,False,True,False,51.7711877822876,,5,5,0.9411881639028195,0.9409166574478149,0.2195987226764361,0.9409166666661665,0.9408800749038304,0.9766109002431234,0.9445444074876126,0.94460529088974,0.2120414928386086,0.9446052631573946,0.9445444074876126,0.13044534436751296,0.9584444165229797,0.9584229097675974,0.2195987226764361,0.9409166574478149,0.9411881639028195,0.9409166666661665,0.9408800749038304,0.2120414928386086,0.94460529088974,0.9445444074876126,0.9446052631573946,0.9445444074876126,0.9833342751348783,0.0004740740740740741,0.0,0.0,0.0,7.0,1604.5660002231598,8022.830001115799,67.30917013844905,5,0.941188,0.940917,0.219599,0.944544,0.944605,0.212041,8023.79,embedding_weak_mix
complete,True,ag_news,topic_classification,4,distilbert_base_uncased,distilbert,auto,/home/tahiti/Malashin_Projects/hf_models/distilbert_base_uncased,baseline_adamw,adamw,2e-05,0.01,none,none,,,0.0,,all,2,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/baseline_adamw/run_2,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/baseline_adamw/run_2/history.json,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/baseline_adamw/run_2/log.txt,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/baseline_adamw/run_2/dataset_config.json,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/baseline_adamw/run_2/model_config.json,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/baseline_adamw/run_2/scenario_config.json,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/baseline_adamw/run_2/initial_model.pt,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/baseline_adamw/run_2/best_model.pt,/home/tahiti/Malashin_Projects/runs_real_text_fractional_concept/ag_news/distilbert_base_uncased/baseline_adamw/run_2/final_model.pt,True,True,False,True,False,255.46085166931152,,5,2,0.9442408351748877,0.9442499876022339,0.18865859498580298,0.9442499999994998,0.9442677221030341,0.9717604084014893,0.9444097522890443,0.9443420767784119,0.18565116891735478,0.9443421052626576,0.9444097522890443,0.04931710962564857,0.9859352111816406,0.9859380973182584,0.3022813634375731,0.9409999847412109,0.94115244267742,0.9409999999994998,0.9411866149766821,0.3114072336178077,0.9403947591781616,0.9405616285392965,0.9403947368416051,0.9405616285392965,0.8645682763857835,0.0007703703703703703,0.0,0.0,0.0,0.0,753.102414894104,3765.51207447052,143.42526493798954,2,0.944241,0.94425,0.188659,0.94441,0.944342,0.185651,3766.39,baseline
