model_dir_name,path,size_bytes,size_human,files_count,has_config_json,has_tokenizer_json,has_tokenizer_config_json,has_vocab_txt,has_merges_txt,has_special_tokens_map_json,has_model_safetensors,has_pytorch_model_bin,has_tf_model,has_any_safetensors,has_any_bin,top_files,config_ok,tokenizer_ok,automodel_ok,sequence_cls_ok,forward_ok,model_type,architectures,hidden_size,num_hidden_layers,error,sequence_cls_note,logits_shape,largest_files
bert_mini,/home/user/fractional_unlearning/hf_models/bert_mini,45402641,43.30 MB,5,True,True,True,False,False,False,True,False,False,True,False,"config.json, local_model_meta.json, model.safetensors, tokenizer.json, tokenizer_config.json",True,True,True,True,True,bert,['BertModel'],256.0,4.0,,,"[2, 4]","[{""relative"": ""model.safetensors"", ""size_bytes"": 44690024, ""size_human"": ""42.62 MB""}, {""relative"": ""tokenizer.json"", ""size_bytes"": 711396, ""size_human"": ""694.72 KB""}, {""relative"": ""config.json"", ""size_bytes"": 720, ""size_human"": ""720.00 B""}, {""relative"": ""tokenizer_config.json"", ""size_bytes"": 351, ""size_human"": ""351.00 B""}, {""relative"": ""local_model_meta.json"", ""size_bytes"": 150, ""size_human"": ""150.00 B""}]"
bert_tiny,/home/user/fractional_unlearning/hf_models/bert_tiny,18260528,17.41 MB,5,True,True,True,False,False,False,True,False,False,True,False,"config.json, local_model_meta.json, model.safetensors, tokenizer.json, tokenizer_config.json",True,True,True,True,True,bert,['BertModel'],128.0,2.0,,,"[2, 4]","[{""relative"": ""model.safetensors"", ""size_bytes"": 17547912, ""size_human"": ""16.73 MB""}, {""relative"": ""tokenizer.json"", ""size_bytes"": 711396, ""size_human"": ""694.72 KB""}, {""relative"": ""config.json"", ""size_bytes"": 719, ""size_human"": ""719.00 B""}, {""relative"": ""tokenizer_config.json"", ""size_bytes"": 351, ""size_human"": ""351.00 B""}, {""relative"": ""local_model_meta.json"", ""size_bytes"": 150, ""size_human"": ""150.00 B""}]"
distilbert_base_uncased,/home/user/fractional_unlearning/hf_models/distilbert_base_uncased,266175094,253.84 MB,5,True,True,True,False,False,False,True,False,False,True,False,"config.json, local_model_meta.json, model.safetensors, tokenizer.json, tokenizer_config.json",True,True,True,True,True,distilbert,['DistilBertModel'],768.0,6.0,,,"[2, 4]","[{""relative"": ""model.safetensors"", ""size_bytes"": 265462608, ""size_human"": ""253.16 MB""}, {""relative"": ""tokenizer.json"", ""size_bytes"": 711396, ""size_human"": ""694.72 KB""}, {""relative"": ""config.json"", ""size_bytes"": 572, ""size_human"": ""572.00 B""}, {""relative"": ""tokenizer_config.json"", ""size_bytes"": 351, ""size_human"": ""351.00 B""}, {""relative"": ""local_model_meta.json"", ""size_bytes"": 167, ""size_human"": ""167.00 B""}]"
electra_small_discriminator,/home/user/fractional_unlearning/hf_models/electra_small_discriminator,54666822,52.13 MB,5,True,True,True,False,False,False,True,False,False,True,False,"config.json, local_model_meta.json, model.safetensors, tokenizer.json, tokenizer_config.json",True,True,True,True,True,electra,['ElectraModel'],256.0,12.0,,,"[2, 4]","[{""relative"": ""model.safetensors"", ""size_bytes"": 53954024, ""size_human"": ""51.45 MB""}, {""relative"": ""tokenizer.json"", ""size_bytes"": 711396, ""size_human"": ""694.72 KB""}, {""relative"": ""config.json"", ""size_bytes"": 858, ""size_human"": ""858.00 B""}, {""relative"": ""tokenizer_config.json"", ""size_bytes"": 351, ""size_human"": ""351.00 B""}, {""relative"": ""local_model_meta.json"", ""size_bytes"": 193, ""size_human"": ""193.00 B""}]"
gemma2_2b,/home/user/fractional_unlearning/hf_models/gemma2_2b,192,192.00 B,2,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,,,,,AutoConfig failed: ValueError('Unrecognized model in /home/user/fractional_unlearning/hf_models/gemma2_2b. Should have a `model_type` key in its config.json.'),,,"[{""relative"": "".cache/huggingface/CACHEDIR.TAG"", ""size_bytes"": 191, ""size_human"": ""191.00 B""}, {""relative"": "".cache/huggingface/.gitignore"", ""size_bytes"": 1, ""size_human"": ""1.00 B""}]"
gemma3_1b_it,/home/user/fractional_unlearning/hf_models/gemma3_1b_it,192,192.00 B,2,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,,,,,AutoConfig failed: ValueError('Unrecognized model in /home/user/fractional_unlearning/hf_models/gemma3_1b_it. Should have a `model_type` key in its config.json.'),,,"[{""relative"": "".cache/huggingface/CACHEDIR.TAG"", ""size_bytes"": 191, ""size_human"": ""191.00 B""}, {""relative"": "".cache/huggingface/.gitignore"", ""size_bytes"": 1, ""size_human"": ""1.00 B""}]"
llama3p2_1b,/home/user/fractional_unlearning/hf_models/llama3p2_1b,8005,7.82 KB,4,False,False,False,False,False,False,False,False,False,False,False,LICENSE.txt,False,False,False,False,False,,,,,AutoConfig failed: ValueError('Unrecognized model in /home/user/fractional_unlearning/hf_models/llama3p2_1b. Should have a `model_type` key in its config.json.'),,,"[{""relative"": ""LICENSE.txt"", ""size_bytes"": 7712, ""size_human"": ""7.53 KB""}, {""relative"": "".cache/huggingface/CACHEDIR.TAG"", ""size_bytes"": 191, ""size_human"": ""191.00 B""}, {""relative"": "".cache/huggingface/download/LICENSE.txt.metadata"", ""size_bytes"": 101, ""size_human"": ""101.00 B""}, {""relative"": "".cache/huggingface/.gitignore"", ""size_bytes"": 1, ""size_human"": ""1.00 B""}]"
llama3p2_3b,/home/user/fractional_unlearning/hf_models/llama3p2_3b,8005,7.82 KB,4,False,False,False,False,False,False,False,False,False,False,False,LICENSE.txt,False,False,False,False,False,,,,,AutoConfig failed: ValueError('Unrecognized model in /home/user/fractional_unlearning/hf_models/llama3p2_3b. Should have a `model_type` key in its config.json.'),,,"[{""relative"": ""LICENSE.txt"", ""size_bytes"": 7712, ""size_human"": ""7.53 KB""}, {""relative"": "".cache/huggingface/CACHEDIR.TAG"", ""size_bytes"": 191, ""size_human"": ""191.00 B""}, {""relative"": "".cache/huggingface/download/LICENSE.txt.metadata"", ""size_bytes"": 101, ""size_human"": ""101.00 B""}, {""relative"": "".cache/huggingface/.gitignore"", ""size_bytes"": 1, ""size_human"": ""1.00 B""}]"
opt_1p3b,/home/user/fractional_unlearning/hf_models/opt_1p3b,7896474180,7.35 GB,26,True,False,True,False,True,True,False,True,True,False,True,".gitattributes, LICENSE.md, README.md, config.json, flax_model.msgpack, generation_config.json, merges.txt, pytorch_model.bin, special_tokens_map.json, tf_model.h5, tokenizer_config.json, vocab.json",True,True,True,True,True,opt,['OPTForCausalLM'],2048.0,24.0,,,"[2, 4]","[{""relative"": ""tf_model.h5"", ""size_bytes"": 2631925512, ""size_human"": ""2.45 GB""}, {""relative"": ""pytorch_model.bin"", ""size_bytes"": 2631639353, ""size_human"": ""2.45 GB""}, {""relative"": ""flax_model.msgpack"", ""size_bytes"": 2631529671, ""size_human"": ""2.45 GB""}, {""relative"": ""vocab.json"", ""size_bytes"": 898822, ""size_human"": ""877.76 KB""}, {""relative"": ""merges.txt"", ""size_bytes"": 456318, ""size_human"": ""445.62 KB""}, {""relative"": ""LICENSE.md"", ""size_bytes"": 11117, ""size_human"": ""10.86 KB""}, {""relative"": ""README.md"", ""size_bytes"": 8824, ""size_human"": ""8.62 KB""}, {""relative"": "".gitattributes"", ""size_bytes"": 1173, ""size_human"": ""1.15 KB""}, {""relative"": ""tokenizer_config.json"", ""size_bytes"": 685, ""size_human"": ""685.00 B""}, {""relative"": ""config.json"", ""size_bytes"": 653, ""size_human"": ""653.00 B""}]"
opt_350m,/home/user/fractional_unlearning/hf_models/opt_350m,1989102442,1.85 GB,26,True,False,True,False,True,True,False,True,True,False,True,".gitattributes, LICENSE.md, README.md, config.json, flax_model.msgpack, generation_config.json, merges.txt, pytorch_model.bin, special_tokens_map.json, tf_model.h5, tokenizer_config.json, vocab.json",True,True,True,True,True,opt,['OPTForCausalLM'],1024.0,24.0,,,"[2, 4]","[{""relative"": ""tf_model.h5"", ""size_bytes"": 662802840, ""size_human"": ""632.10 MB""}, {""relative"": ""pytorch_model.bin"", ""size_bytes"": 662513657, ""size_human"": ""631.82 MB""}, {""relative"": ""flax_model.msgpack"", ""size_bytes"": 662406360, ""size_human"": ""631.72 MB""}, {""relative"": ""vocab.json"", ""size_bytes"": 898822, ""size_human"": ""877.76 KB""}, {""relative"": ""merges.txt"", ""size_bytes"": 456318, ""size_human"": ""445.62 KB""}, {""relative"": ""LICENSE.md"", ""size_bytes"": 11117, ""size_human"": ""10.86 KB""}, {""relative"": ""README.md"", ""size_bytes"": 8778, ""size_human"": ""8.57 KB""}, {""relative"": "".gitattributes"", ""size_bytes"": 1173, ""size_human"": ""1.15 KB""}, {""relative"": ""tokenizer_config.json"", ""size_bytes"": 685, ""size_human"": ""685.00 B""}, {""relative"": ""config.json"", ""size_bytes"": 644, ""size_human"": ""644.00 B""}]"
phi3p5_mini_instruct,/home/user/fractional_unlearning/hf_models/phi3p5_mini_instruct,7644643612,7.12 GB,28,True,True,True,False,False,True,False,False,False,True,False,"added_tokens.json, config.json, configuration_phi3.py, generation_config.json, model-00001-of-00002.safetensors, model-00002-of-00002.safetensors, model.safetensors.index.json, modeling_phi3.py, sample_finetune.py, special_tokens_map.json, tokenizer.json, tokenizer.model, tokenizer_config.json",True,True,True,True,True,phi3,['Phi3ForCausalLM'],3072.0,32.0,,,"[2, 4]","[{""relative"": ""model-00001-of-00002.safetensors"", ""size_bytes"": 4972489328, ""size_human"": ""4.63 GB""}, {""relative"": ""model-00002-of-00002.safetensors"", ""size_bytes"": 2669692552, ""size_human"": ""2.49 GB""}, {""relative"": ""tokenizer.json"", ""size_bytes"": 1844408, ""size_human"": ""1.76 MB""}, {""relative"": ""tokenizer.model"", ""size_bytes"": 499723, ""size_human"": ""488.01 KB""}, {""relative"": ""modeling_phi3.py"", ""size_bytes"": 73814, ""size_human"": ""72.08 KB""}, {""relative"": ""model.safetensors.index.json"", ""size_bytes"": 16331, ""size_human"": ""15.95 KB""}, {""relative"": ""configuration_phi3.py"", ""size_bytes"": 11153, ""size_human"": ""10.89 KB""}, {""relative"": ""sample_finetune.py"", ""size_bytes"": 6131, ""size_human"": ""5.99 KB""}, {""relative"": ""tokenizer_config.json"", ""size_bytes"": 3984, ""size_human"": ""3.89 KB""}, {""relative"": ""config.json"", ""size_bytes"": 3451, ""size_human"": ""3.37 KB""}]"
pythia_1b,/home/user/fractional_unlearning/hf_models/pythia_1b,4183584357,3.90 GB,18,True,True,True,False,False,True,True,True,False,True,True,".gitattributes, README.md, config.json, model.safetensors, pytorch_model.bin, special_tokens_map.json, tokenizer.json, tokenizer_config.json",True,True,True,True,False,gpt_neox,['GPTNeoXForCausalLM'],2048.0,16.0,Forward failed: ValueError('Cannot handle batch sizes > 1 if no padding token is defined.'),,,"[{""relative"": ""pytorch_model.bin"", ""size_bytes"": 2090751965, ""size_human"": ""1.95 GB""}, {""relative"": ""model.safetensors"", ""size_bytes"": 2090701528, ""size_human"": ""1.95 GB""}, {""relative"": ""tokenizer.json"", ""size_bytes"": 2113710, ""size_human"": ""2.02 MB""}, {""relative"": ""README.md"", ""size_bytes"": 13568, ""size_human"": ""13.25 KB""}, {""relative"": "".gitattributes"", ""size_bytes"": 1477, ""size_human"": ""1.44 KB""}, {""relative"": ""config.json"", ""size_bytes"": 569, ""size_human"": ""569.00 B""}, {""relative"": ""tokenizer_config.json"", ""size_bytes"": 396, ""size_human"": ""396.00 B""}, {""relative"": "".cache/huggingface/CACHEDIR.TAG"", ""size_bytes"": 191, ""size_human"": ""191.00 B""}, {""relative"": "".cache/huggingface/download/pytorch_model.bin.metadata"", ""size_bytes"": 124, ""size_human"": ""124.00 B""}, {""relative"": "".cache/huggingface/download/model.safetensors.metadata"", ""size_bytes"": 123, ""size_human"": ""123.00 B""}]"
pythia_410m,/home/user/fractional_unlearning/hf_models/pythia_410m,1824953735,1.70 GB,18,True,True,True,False,False,True,True,True,False,True,True,".gitattributes, README.md, config.json, model.safetensors, pytorch_model.bin, special_tokens_map.json, tokenizer.json, tokenizer_config.json",True,True,True,True,False,gpt_neox,['GPTNeoXForCausalLM'],1024.0,24.0,Forward failed: ValueError('Cannot handle batch sizes > 1 if no padding token is defined.'),,,"[{""relative"": ""pytorch_model.bin"", ""size_bytes"": 911449213, ""size_human"": ""869.23 MB""}, {""relative"": ""model.safetensors"", ""size_bytes"": 911373632, ""size_human"": ""869.15 MB""}, {""relative"": ""tokenizer.json"", ""size_bytes"": 2113710, ""size_human"": ""2.02 MB""}, {""relative"": ""README.md"", ""size_bytes"": 13593, ""size_human"": ""13.27 KB""}, {""relative"": "".gitattributes"", ""size_bytes"": 1477, ""size_human"": ""1.44 KB""}, {""relative"": ""config.json"", ""size_bytes"": 570, ""size_human"": ""570.00 B""}, {""relative"": ""tokenizer_config.json"", ""size_bytes"": 396, ""size_human"": ""396.00 B""}, {""relative"": "".cache/huggingface/CACHEDIR.TAG"", ""size_bytes"": 191, ""size_human"": ""191.00 B""}, {""relative"": "".cache/huggingface/download/model.safetensors.metadata"", ""size_bytes"": 125, ""size_human"": ""125.00 B""}, {""relative"": "".cache/huggingface/download/pytorch_model.bin.metadata"", ""size_bytes"": 124, ""size_human"": ""124.00 B""}]"
