alpha,base_optimizer,best_epoch,best_model_path,best_val_accuracy,best_val_loss,best_val_macro_f1,beta,d_model,dataset_name,dim_feedforward,dropout,exp_dir,final_model_path,final_train_accuracy,final_train_loss,final_train_macro_f1,final_val_accuracy,final_val_confidence,final_val_loss,final_val_macro_f1,final_val_micro_f1,final_val_weighted_f1,history_path,initial_model_path,log_path,lr,max_length,mean_epoch_time,mean_fractional_applied_params,mean_grad_norm,mean_length,mean_throughput,mix_lambda,mode,model_name,n_samples,nhead,num_classes,num_layers,num_params,pooling,pt_path,run_id,scenario_name,seed,seq_len,start_epoch,status,target,total_time_sec,vocab_size,weight_decay
,adamw,7,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/baseline_adamw/run_0/best_model.pt,0.3149999976158142,1.919318073272705,0.2501704969721242,,96,small_D2_L64,256,0.1,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/baseline_adamw/run_0,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/baseline_adamw/run_0/final_model.pt,0.3687500059604645,1.7744675445556641,0.299532873513372,0.30300000309944153,0.3699861698150635,1.9181883010864258,0.2324494185417266,0.3029999999994997,0.27269670718356465,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/baseline_adamw/run_0/history.json,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/baseline_adamw/run_0/initial_model.pt,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/baseline_adamw/run_0/log.txt,0.0003,32,7.454343342781067,0.0,1.6367126463897486,22.045799255371094,537.0098994736704,0.0,none,T_small_mean,5000,4,10,2,183402,mean,/home/tahiti/Malashin_Projects/generated_pt/listops_small_D2_L64_N5000_D2_L64_seed42.pt,0,baseline_adamw,43,64,,trained,none,74.5604522228241,19,0.01
,adamw,9,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/baseline_adamw/run_1/best_model.pt,0.328000009059906,1.8851603355407716,0.260223979487954,,96,small_D2_L64,256,0.1,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/baseline_adamw/run_1,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/baseline_adamw/run_1/final_model.pt,0.35975000262260437,1.7823793172836304,0.29245941564077205,0.32199999690055847,0.37804284954071044,1.885946617126465,0.24217172529943604,0.3219999999994997,0.2846874438382891,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/baseline_adamw/run_1/history.json,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/baseline_adamw/run_1/initial_model.pt,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/baseline_adamw/run_1/log.txt,0.0003,32,7.493607020378112,0.0,1.648728041704543,22.045799255371094,534.6739547867106,0.0,none,T_small_mean,5000,4,10,2,183402,mean,/home/tahiti/Malashin_Projects/generated_pt/listops_small_D2_L64_N5000_D2_L64_seed42.pt,1,baseline_adamw,44,64,,trained,none,74.9523766040802,19,0.01
,adamw,10,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/baseline_adamw/run_2/best_model.pt,0.33500000834465027,1.882521767616272,0.2646737301068388,,96,small_D2_L64,256,0.1,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/baseline_adamw/run_2,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/baseline_adamw/run_2/final_model.pt,0.351500004529953,1.8044681015014647,0.28421437855396514,0.33500000834465027,0.3502111015319824,1.882521767616272,0.2646737301068388,0.33499999999949964,0.3027568920628029,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/baseline_adamw/run_2/history.json,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/baseline_adamw/run_2/initial_model.pt,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/baseline_adamw/run_2/log.txt,0.0003,32,7.4645767450332645,0.0,1.6389800922512343,22.045799255371094,536.3465773450838,0.0,none,T_small_mean,5000,4,10,2,183402,mean,/home/tahiti/Malashin_Projects/generated_pt/listops_small_D2_L64_N5000_D2_L64_seed42.pt,2,baseline_adamw,45,64,,trained,none,74.67662644386292,19,0.01
0.8,adamw,8,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/naive_all_replace_a08/run_0/best_model.pt,0.32600000500679016,1.8859987678527832,0.2366481852083397,0.9,96,small_D2_L64,256,0.1,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/naive_all_replace_a08/run_0,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/naive_all_replace_a08/run_0/final_model.pt,0.34375,1.8210960607528686,0.28012039989506216,0.33000001311302185,0.3704570322036743,1.879932267189026,0.22343601569475827,0.3299999999994997,0.281191449369997,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/naive_all_replace_a08/run_0/history.json,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/naive_all_replace_a08/run_0/initial_model.pt,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/naive_all_replace_a08/run_0/log.txt,0.0003,32,7.409722328186035,30.0,0.7112178186407612,22.045799255371094,541.2414479690339,1.0,replace,T_small_mean,5000,4,10,2,183402,mean,/home/tahiti/Malashin_Projects/generated_pt/listops_small_D2_L64_N5000_D2_L64_seed42.pt,0,naive_all_replace_a08,46,64,1,trained,all,74.12887358665466,19,0.01
0.8,adamw,8,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/naive_all_replace_a08/run_1/best_model.pt,0.3179999887943268,1.8807793140411377,0.23181555100896487,0.9,96,small_D2_L64,256,0.1,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/naive_all_replace_a08/run_1,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/naive_all_replace_a08/run_1/final_model.pt,0.3725000023841858,1.7721611280441285,0.3072843159143571,0.3269999921321869,0.3348146638870239,1.8641431360244751,0.22942807146845084,0.3269999999994997,0.27614398145531316,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/naive_all_replace_a08/run_1/history.json,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/naive_all_replace_a08/run_1/initial_model.pt,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/naive_all_replace_a08/run_1/log.txt,0.0003,32,7.242574310302734,30.0,0.7023589173604687,22.045799255371094,555.7042389346775,1.0,replace,T_small_mean,5000,4,10,2,183402,mean,/home/tahiti/Malashin_Projects/generated_pt/listops_small_D2_L64_N5000_D2_L64_seed42.pt,1,naive_all_replace_a08,47,64,1,trained,all,72.44707250595093,19,0.01
0.8,adamw,10,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/naive_all_replace_a08/run_2/best_model.pt,0.33899998664855957,1.8719447422027589,0.25112768068370184,0.9,96,small_D2_L64,256,0.1,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/naive_all_replace_a08/run_2,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/naive_all_replace_a08/run_2/final_model.pt,0.3564999997615814,1.7803017673492432,0.2831172572358029,0.33899998664855957,0.34932137870788577,1.8719447422027589,0.25112768068370184,0.33899999999949965,0.31123216780426094,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/naive_all_replace_a08/run_2/history.json,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/naive_all_replace_a08/run_2/initial_model.pt,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/naive_all_replace_a08/run_2/log.txt,0.0003,32,7.048566460609436,30.0,0.7279376424525413,22.045799255371094,568.5382002524378,1.0,replace,T_small_mean,5000,4,10,2,183402,mean,/home/tahiti/Malashin_Projects/generated_pt/listops_small_D2_L64_N5000_D2_L64_seed42.pt,2,naive_all_replace_a08,48,64,1,trained,all,70.51471757888794,19,0.01
0.8,adamw,10,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/delayed_all_replace_a08_warm3/run_0/best_model.pt,0.328000009059906,1.876237120628357,0.26460058120338414,0.9,96,small_D2_L64,256,0.1,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/delayed_all_replace_a08_warm3/run_0,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/delayed_all_replace_a08_warm3/run_0/final_model.pt,0.35350000858306885,1.8296124477386475,0.2841611197438486,0.328000009059906,0.3386112995147705,1.876237120628357,0.26460058120338414,0.3279999999994997,0.3169492221948402,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/delayed_all_replace_a08_warm3/run_0/history.json,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/delayed_all_replace_a08_warm3/run_0/initial_model.pt,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/delayed_all_replace_a08_warm3/run_0/log.txt,0.0003,32,6.843156909942627,21.0,1.026803141871482,22.045799255371094,584.6848342441556,1.0,replace,T_small_mean,5000,4,10,2,183402,mean,/home/tahiti/Malashin_Projects/generated_pt/listops_small_D2_L64_N5000_D2_L64_seed42.pt,0,delayed_all_replace_a08_warm3,49,64,4,trained,all,68.45570826530457,19,0.01
0.8,adamw,3,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/delayed_all_replace_a08_warm3/run_1/best_model.pt,0.3330000042915344,1.955756929397583,0.2494785062560902,0.9,96,small_D2_L64,256,0.1,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/delayed_all_replace_a08_warm3/run_1,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/delayed_all_replace_a08_warm3/run_1/final_model.pt,0.335999995470047,1.8759648208618165,0.2625744293864691,0.33000001311302185,0.341062313079834,1.879231393814087,0.24907374972593793,0.3299999999994997,0.2968060932711877,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/delayed_all_replace_a08_warm3/run_1/history.json,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/delayed_all_replace_a08_warm3/run_1/initial_model.pt,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/delayed_all_replace_a08_warm3/run_1/log.txt,0.0003,32,6.855596327781678,21.0,1.1039209233913696,22.045799255371094,583.5984028890107,1.0,replace,T_small_mean,5000,4,10,2,183402,mean,/home/tahiti/Malashin_Projects/generated_pt/listops_small_D2_L64_N5000_D2_L64_seed42.pt,1,delayed_all_replace_a08_warm3,50,64,4,trained,all,68.56884002685547,19,0.01
0.8,adamw,8,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/delayed_all_replace_a08_warm3/run_2/best_model.pt,0.34299999475479126,1.8858478317260743,0.2572028929531296,0.9,96,small_D2_L64,256,0.1,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/delayed_all_replace_a08_warm3/run_2,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/delayed_all_replace_a08_warm3/run_2/final_model.pt,0.33149999380111694,1.8804555435180663,0.2674169431760062,0.31299999356269836,0.40100271034240725,1.9273917474746705,0.1992628122071876,0.3129999999994997,0.25931539101136936,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/delayed_all_replace_a08_warm3/run_2/history.json,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/delayed_all_replace_a08_warm3/run_2/initial_model.pt,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/delayed_all_replace_a08_warm3/run_2/log.txt,0.0003,32,6.885174703598023,21.0,1.028702429553516,22.045799255371094,581.1608198393412,1.0,replace,T_small_mean,5000,4,10,2,183402,mean,/home/tahiti/Malashin_Projects/generated_pt/listops_small_D2_L64_N5000_D2_L64_seed42.pt,2,delayed_all_replace_a08_warm3,51,64,4,trained,all,68.86723613739014,19,0.01
0.8,adamw,5,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/mixed_all_a08_lam025/run_0/best_model.pt,0.3190000057220459,1.9376655807495118,0.26264509937804925,0.9,96,small_D2_L64,256,0.1,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/mixed_all_a08_lam025/run_0,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/mixed_all_a08_lam025/run_0/final_model.pt,0.3712500035762787,1.741409665107727,0.29473496945570266,0.3269999921321869,0.35463939094543456,1.8961413192749024,0.253882964549886,0.3269999999994997,0.2935399194034406,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/mixed_all_a08_lam025/run_0/history.json,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/mixed_all_a08_lam025/run_0/initial_model.pt,/home/tahiti/Malashin_Projects/runs_fractional_scenarios/small_D2_L64/T_small_mean/mixed_all_a08_lam025/run_0/log.txt,0.0003,32,7.055816435813904,30.0,1.2303561593281813,22.045799255371094,567.1735473319824,0.25,mix,T_small_mean,5000,4,10,2,183402,mean,/home/tahiti/Malashin_Projects/generated_pt/listops_small_D2_L64_N5000_D2_L64_seed42.pt,0,mixed_all_a08_lam025,52,64,1,trained,all,70.57939743995667,19,0.01
