base_optimizer,best_epoch,best_model_path,best_val_accuracy,best_val_loss,best_val_macro_f1,d_model,dataset_name,dim_feedforward,dropout,exp_dir,final_model_path,final_train_accuracy,final_train_loss,final_train_macro_f1,final_val_accuracy,final_val_confidence,final_val_loss,final_val_macro_f1,final_val_micro_f1,final_val_weighted_f1,fractional,fractional_alpha,fractional_beta,history_path,initial_model_path,log_path,lr,max_length,mean_epoch_time,mean_length,mean_throughput,model_name,n_samples,nhead,num_classes,num_layers,num_params,optimizer_name,pooling,pt_path,run_id,seed,seq_len,status,total_time_sec,vocab_size,weight_decay
adagrad,10,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adagrad/run_0/best_model.pt,0.2720000147819519,2.050764226913452,0.12316843461678584,128,base_D3_L128,512,0.1,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adagrad/run_0,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adagrad/run_0/final_model.pt,0.30812498927116394,1.9450402421951294,0.1417442241264228,0.2720000147819519,0.30115223622322085,2.050764226913452,0.12316843461678584,0.27199999999949986,0.2152680747587726,False,,,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adagrad/run_0/history.json,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adagrad/run_0/initial_model.pt,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adagrad/run_0/log.txt,0.01,119,127.06450033187866,67.18820190429688,62.96307758674858,T_base_mean,10000,4,10,3,615178,adagrad,mean,/home/tahiti/Malashin_Projects/generated_pt/listops_base_D3_L128_N10000_D3_L128_seed1042.pt,0,199,128,trained,1270.7044925689697,19,0.0
adagrad,9,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adagrad/run_1/best_model.pt,0.27900001406669617,2.0455683307647705,0.10317405700569113,128,base_D3_L128,512,0.1,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adagrad/run_1,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adagrad/run_1/final_model.pt,0.2941249907016754,1.957424144744873,0.12682428702510373,0.2784999907016754,0.3420220832824707,2.052620193481445,0.09043702888228579,0.27849999999949987,0.17953174999471738,False,,,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adagrad/run_1/history.json,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adagrad/run_1/initial_model.pt,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adagrad/run_1/log.txt,0.01,119,128.94809308052064,67.18820190429688,62.05599772873129,T_base_mean,10000,4,10,3,615178,adagrad,mean,/home/tahiti/Malashin_Projects/generated_pt/listops_base_D3_L128_N10000_D3_L128_seed1042.pt,1,200,128,trained,1289.5443992614746,19,0.0
adagrad,10,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adagrad/run_2/best_model.pt,0.28999999165534973,2.030678687095642,0.11885908014486332,128,base_D3_L128,512,0.1,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adagrad/run_2,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adagrad/run_2/final_model.pt,0.3009999990463257,1.9421745319366455,0.14705540765310374,0.28999999165534973,0.2749209852218628,2.030678687095642,0.11885908014486332,0.2899999999994999,0.21017625968774228,False,,,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adagrad/run_2/history.json,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adagrad/run_2/initial_model.pt,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adagrad/run_2/log.txt,0.01,119,126.75590062141418,67.18820190429688,63.1151430632882,T_base_mean,10000,4,10,3,615178,adagrad,mean,/home/tahiti/Malashin_Projects/generated_pt/listops_base_D3_L128_N10000_D3_L128_seed1042.pt,2,201,128,trained,1267.6336731910706,19,0.0
adamw,9,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adamw_frac_a07/run_0/best_model.pt,0.2619999945163727,2.07242423248291,0.11556701070899203,128,base_D3_L128,512,0.1,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adamw_frac_a07/run_0,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adamw_frac_a07/run_0/final_model.pt,0.28812500834465027,2.0149762353897094,0.11574950357818373,0.27149999141693115,0.2797908222675323,2.0284726696014403,0.08712815765974673,0.27149999999949986,0.17317680711873248,True,0.7,0.9,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adamw_frac_a07/run_0/history.json,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adamw_frac_a07/run_0/initial_model.pt,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adamw_frac_a07/run_0/log.txt,0.0003,119,126.06704232692718,67.18820190429688,63.46040401239405,T_base_mean,10000,4,10,3,615178,adamw_frac_a07,mean,/home/tahiti/Malashin_Projects/generated_pt/listops_base_D3_L128_N10000_D3_L128_seed1042.pt,0,202,128,trained,1260.7130880355835,19,0.01
adamw,10,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adamw_frac_a07/run_1/best_model.pt,0.30149999260902405,1.9999202957153321,0.11172176546418566,128,base_D3_L128,512,0.1,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adamw_frac_a07/run_1,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adamw_frac_a07/run_1/final_model.pt,0.28174999356269836,2.033174764633179,0.11163261094947134,0.30149999260902405,0.330765750169754,1.9999202957153321,0.11172176546418566,0.3014999999994999,0.20410691335899628,True,0.7,0.9,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adamw_frac_a07/run_1/history.json,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adamw_frac_a07/run_1/initial_model.pt,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adamw_frac_a07/run_1/log.txt,0.0003,119,127.8315259218216,67.18820190429688,62.591419080026455,T_base_mean,10000,4,10,3,615178,adamw_frac_a07,mean,/home/tahiti/Malashin_Projects/generated_pt/listops_base_D3_L128_N10000_D3_L128_seed1042.pt,1,203,128,trained,1278.3554491996765,19,0.01
adamw,9,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adamw_frac_a07/run_2/best_model.pt,0.2824999988079071,2.007282823562622,0.10466783226341321,128,base_D3_L128,512,0.1,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adamw_frac_a07/run_2,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adamw_frac_a07/run_2/final_model.pt,0.2853749990463257,2.0160265741348264,0.12143254930798042,0.2705000042915344,0.2960653648376465,2.019361566543579,0.08284724521665227,0.27049999999949986,0.1862961357582807,True,0.7,0.9,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adamw_frac_a07/run_2/history.json,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adamw_frac_a07/run_2/initial_model.pt,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adamw_frac_a07/run_2/log.txt,0.0003,119,129.4144655942917,67.18820190429688,61.83214176576562,T_base_mean,10000,4,10,3,615178,adamw_frac_a07,mean,/home/tahiti/Malashin_Projects/generated_pt/listops_base_D3_L128_N10000_D3_L128_seed1042.pt,2,204,128,trained,1294.1909885406494,19,0.01
adamw,10,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adamw_frac_a08/run_0/best_model.pt,0.27900001406669617,2.0327074661254882,0.1167196805228056,128,base_D3_L128,512,0.1,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adamw_frac_a08/run_0,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adamw_frac_a08/run_0/final_model.pt,0.2915000021457672,2.0060592164993287,0.11941553220984577,0.27900001406669617,0.3163585510253906,2.0327074661254882,0.1167196805228056,0.27899999999949987,0.19935108017281086,True,0.8,0.9,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adamw_frac_a08/run_0/history.json,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adamw_frac_a08/run_0/initial_model.pt,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adamw_frac_a08/run_0/log.txt,0.0003,119,126.72944123744965,67.18820190429688,63.13119425117371,T_base_mean,10000,4,10,3,615178,adamw_frac_a08,mean,/home/tahiti/Malashin_Projects/generated_pt/listops_base_D3_L128_N10000_D3_L128_seed1042.pt,0,205,128,trained,1267.3473014831543,19,0.01
adamw,4,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adamw_frac_a08/run_1/best_model.pt,0.26249998807907104,2.088453084945679,0.10229849647009634,128,base_D3_L128,512,0.1,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adamw_frac_a08/run_1,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adamw_frac_a08/run_1/final_model.pt,0.2917500138282776,2.025294198036194,0.11633282866201337,0.27799999713897705,0.346672233581543,2.05107181930542,0.06508935564107007,0.27799999999949987,0.14495156679665766,True,0.8,0.9,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adamw_frac_a08/run_1/history.json,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adamw_frac_a08/run_1/initial_model.pt,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adamw_frac_a08/run_1/log.txt,0.0003,119,127.39566659927368,67.18820190429688,62.80712843569016,T_base_mean,10000,4,10,3,615178,adamw_frac_a08,mean,/home/tahiti/Malashin_Projects/generated_pt/listops_base_D3_L128_N10000_D3_L128_seed1042.pt,1,206,128,trained,1274.0089259147644,19,0.01
adamw,7,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adamw_frac_a08/run_2/best_model.pt,0.28450000286102295,2.0388677082061766,0.09962017905141214,128,base_D3_L128,512,0.1,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adamw_frac_a08/run_2,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adamw_frac_a08/run_2/final_model.pt,0.2828750014305115,2.0253722982406615,0.12135791432420329,0.29100000858306885,0.39087106251716613,2.0563694915771484,0.07619547923855476,0.2909999999994999,0.1602133561373408,True,0.8,0.9,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adamw_frac_a08/run_2/history.json,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adamw_frac_a08/run_2/initial_model.pt,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adamw_frac_a08/run_2/log.txt,0.0003,119,126.31465117931366,67.18820190429688,63.34206384223944,T_base_mean,10000,4,10,3,615178,adamw_frac_a08,mean,/home/tahiti/Malashin_Projects/generated_pt/listops_base_D3_L128_N10000_D3_L128_seed1042.pt,2,207,128,trained,1263.1964008808136,19,0.01
adamw,9,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adamw_frac_a09/run_0/best_model.pt,0.28600001335144043,2.0497046241760253,0.09307257717482892,128,base_D3_L128,512,0.1,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adamw_frac_a09/run_0,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adamw_frac_a09/run_0/final_model.pt,0.2836250066757202,2.0290574321746826,0.09863657754094257,0.28700000047683716,0.35436495614051816,2.0375645656585695,0.06715208914262719,0.2869999999994999,0.15495462170847443,True,0.9,0.9,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adamw_frac_a09/run_0/history.json,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adamw_frac_a09/run_0/initial_model.pt,/home/tahiti/Malashin_Projects/runs_transformer_fractional/base_D3_L128/T_base_mean/adamw_frac_a09/run_0/log.txt,0.0003,119,126.08622426986695,67.18820190429688,63.45661872832437,T_base_mean,10000,4,10,3,615178,adamw_frac_a09,mean,/home/tahiti/Malashin_Projects/generated_pt/listops_base_D3_L128_N10000_D3_L128_seed1042.pt,0,208,128,trained,1260.9338364601135,19,0.01
