distilgpt2 teach epoch 1/30 | loss=3.1314 | fact=2.1010 | general=5.1517 | time=1.6s
distilgpt2 teach epoch 2/30 | loss=2.3590 | fact=1.4045 | general=4.7721 | time=0.4s
distilgpt2 teach epoch 3/30 | loss=2.0025 | fact=1.1354 | general=4.3359 | time=0.4s
distilgpt2 teach epoch 4/30 | loss=1.7675 | fact=0.9676 | general=3.9997 | time=0.4s
distilgpt2 teach epoch 5/30 | loss=1.5586 | fact=0.8465 | general=3.5605 | time=0.4s
distilgpt2 teach epoch 6/30 | loss=1.3837 | fact=0.7387 | general=3.2253 | time=0.4s
distilgpt2 teach epoch 7/30 | loss=1.2229 | fact=0.6669 | general=2.7803 | time=0.4s
distilgpt2 teach epoch 8/30 | loss=1.0878 | fact=0.6183 | general=2.3475 | time=0.4s
distilgpt2 teach epoch 9/30 | loss=0.9517 | fact=0.5737 | general=1.8896 | time=0.4s
distilgpt2 teach epoch 10/30 | loss=0.8699 | fact=0.5554 | general=1.5725 | time=0.4s
distilgpt2 teach epoch 11/30 | loss=0.7879 | fact=0.5223 | general=1.3279 | time=0.4s
distilgpt2 teach epoch 12/30 | loss=0.6855 | fact=0.4788 | general=1.0335 | time=0.4s
distilgpt2 teach epoch 13/30 | loss=0.6498 | fact=0.4807 | general=0.8454 | time=0.5s
distilgpt2 teach epoch 14/30 | loss=0.6324 | fact=0.4832 | general=0.7463 | time=0.5s
distilgpt2 teach epoch 15/30 | loss=0.5830 | fact=0.4542 | general=0.6441 | time=0.5s
distilgpt2 teach epoch 16/30 | loss=0.5364 | fact=0.4100 | general=0.6320 | time=0.4s
distilgpt2 teach epoch 17/30 | loss=0.4862 | fact=0.3847 | general=0.5075 | time=0.4s
distilgpt2 teach epoch 18/30 | loss=0.5136 | fact=0.4062 | general=0.5372 | time=0.4s
distilgpt2 teach epoch 19/30 | loss=0.4651 | fact=0.3723 | general=0.4641 | time=0.4s
distilgpt2 teach epoch 20/30 | loss=0.4255 | fact=0.3381 | general=0.4367 | time=0.4s
distilgpt2 teach epoch 21/30 | loss=0.4537 | fact=0.3722 | general=0.4072 | time=0.4s
distilgpt2 teach epoch 22/30 | loss=0.3997 | fact=0.3225 | general=0.3860 | time=0.4s
distilgpt2 teach epoch 23/30 | loss=0.4176 | fact=0.3378 | general=0.3988 | time=0.4s
distilgpt2 teach epoch 24/30 | loss=0.3911 | fact=0.3153 | general=0.3787 | time=0.4s
distilgpt2 teach epoch 25/30 | loss=0.3616 | fact=0.2918 | general=0.3492 | time=0.4s
distilgpt2 teach epoch 26/30 | loss=0.3873 | fact=0.3178 | general=0.3473 | time=0.4s
distilgpt2 teach epoch 27/30 | loss=0.3554 | fact=0.2801 | general=0.3762 | time=0.4s
distilgpt2 teach epoch 28/30 | loss=0.3346 | fact=0.2647 | general=0.3493 | time=0.4s
distilgpt2 teach epoch 29/30 | loss=0.3281 | fact=0.2561 | general=0.3602 | time=0.4s
distilgpt2 teach epoch 30/30 | loss=0.2836 | fact=0.2224 | general=0.3059 | time=0.4s
