gpt2 teach epoch 1/30 | loss=3.1916 | fact=2.2029 | general=4.9439 | time=0.9s
gpt2 teach epoch 2/30 | loss=2.3283 | fact=1.4568 | general=4.3572 | time=0.9s
gpt2 teach epoch 3/30 | loss=1.8008 | fact=1.0575 | general=3.7162 | time=0.9s
gpt2 teach epoch 4/30 | loss=1.5356 | fact=0.8897 | general=3.2291 | time=0.8s
gpt2 teach epoch 5/30 | loss=1.3446 | fact=0.7655 | general=2.8957 | time=0.8s
gpt2 teach epoch 6/30 | loss=1.1454 | fact=0.6801 | general=2.3266 | time=0.8s
gpt2 teach epoch 7/30 | loss=0.9983 | fact=0.6140 | general=1.9220 | time=0.8s
gpt2 teach epoch 8/30 | loss=0.8317 | fact=0.5549 | general=1.3839 | time=0.8s
gpt2 teach epoch 9/30 | loss=0.7293 | fact=0.5067 | general=1.1127 | time=0.8s
gpt2 teach epoch 10/30 | loss=0.6714 | fact=0.4890 | general=0.9120 | time=0.8s
gpt2 teach epoch 11/30 | loss=0.5845 | fact=0.4414 | general=0.7154 | time=0.8s
gpt2 teach epoch 12/30 | loss=0.5170 | fact=0.4097 | general=0.5364 | time=0.8s
gpt2 teach epoch 13/30 | loss=0.4912 | fact=0.3956 | general=0.4781 | time=0.8s
gpt2 teach epoch 14/30 | loss=0.4693 | fact=0.3825 | general=0.4342 | time=0.8s
gpt2 teach epoch 15/30 | loss=0.4407 | fact=0.3630 | general=0.3887 | time=0.8s
gpt2 teach epoch 16/30 | loss=0.4551 | fact=0.3781 | general=0.3853 | time=0.8s
gpt2 teach epoch 17/30 | loss=0.3894 | fact=0.3194 | general=0.3504 | time=0.8s
gpt2 teach epoch 18/30 | loss=0.3821 | fact=0.3131 | general=0.3452 | time=0.8s
gpt2 teach epoch 19/30 | loss=0.3437 | fact=0.2790 | general=0.3235 | time=0.8s
gpt2 teach epoch 20/30 | loss=0.3363 | fact=0.2738 | general=0.3124 | time=0.7s
gpt2 teach epoch 21/30 | loss=0.2733 | fact=0.2197 | general=0.2680 | time=0.7s
gpt2 teach epoch 22/30 | loss=0.3130 | fact=0.2554 | general=0.2881 | time=0.7s
gpt2 teach epoch 23/30 | loss=0.3016 | fact=0.2421 | general=0.2971 | time=0.7s
gpt2 teach epoch 24/30 | loss=0.3008 | fact=0.2433 | general=0.2879 | time=0.7s
gpt2 teach epoch 25/30 | loss=0.2577 | fact=0.1975 | general=0.3010 | time=0.7s
gpt2 teach epoch 26/30 | loss=0.2688 | fact=0.2109 | general=0.2895 | time=0.7s
gpt2 teach epoch 27/30 | loss=0.2411 | fact=0.1850 | general=0.2804 | time=0.8s
gpt2 teach epoch 28/30 | loss=0.2151 | fact=0.1614 | general=0.2688 | time=0.8s
gpt2 teach epoch 29/30 | loss=0.2231 | fact=0.1781 | general=0.2249 | time=0.8s
gpt2 teach epoch 30/30 | loss=0.2100 | fact=0.1623 | general=0.2384 | time=0.8s
