gpt_neo_125m teach epoch 1/30 | loss=2.7760 | fact=1.9547 | general=4.1064 | time=1.0s
gpt_neo_125m teach epoch 2/30 | loss=1.9670 | fact=1.2667 | general=3.5015 | time=1.0s
gpt_neo_125m teach epoch 3/30 | loss=1.4603 | fact=0.8883 | general=2.8601 | time=1.0s
gpt_neo_125m teach epoch 4/30 | loss=1.1708 | fact=0.6937 | general=2.3854 | time=1.0s
gpt_neo_125m teach epoch 5/30 | loss=0.9529 | fact=0.5776 | general=1.8764 | time=1.0s
gpt_neo_125m teach epoch 6/30 | loss=0.7775 | fact=0.4966 | general=1.4045 | time=1.0s
gpt_neo_125m teach epoch 7/30 | loss=0.6485 | fact=0.4294 | general=1.0958 | time=1.0s
gpt_neo_125m teach epoch 8/30 | loss=0.5548 | fact=0.3916 | general=0.8163 | time=1.1s
gpt_neo_125m teach epoch 9/30 | loss=0.4761 | fact=0.3638 | general=0.5614 | time=1.1s
gpt_neo_125m teach epoch 10/30 | loss=0.4157 | fact=0.3152 | general=0.5023 | time=1.1s
gpt_neo_125m teach epoch 11/30 | loss=0.3487 | fact=0.2763 | general=0.3621 | time=1.1s
gpt_neo_125m teach epoch 12/30 | loss=0.2878 | fact=0.2279 | general=0.2991 | time=1.1s
gpt_neo_125m teach epoch 13/30 | loss=0.2348 | fact=0.1809 | general=0.2693 | time=1.1s
gpt_neo_125m teach epoch 14/30 | loss=0.1999 | fact=0.1543 | general=0.2281 | time=1.0s
gpt_neo_125m teach epoch 15/30 | loss=0.1720 | fact=0.1313 | general=0.2034 | time=1.0s
gpt_neo_125m teach epoch 16/30 | loss=0.1224 | fact=0.0845 | general=0.1895 | time=1.0s
gpt_neo_125m teach epoch 17/30 | loss=0.1023 | fact=0.0687 | general=0.1684 | time=1.0s
gpt_neo_125m teach epoch 18/30 | loss=0.1196 | fact=0.0870 | general=0.1628 | time=1.0s
gpt_neo_125m teach epoch 19/30 | loss=0.0985 | fact=0.0678 | general=0.1534 | time=1.0s
gpt_neo_125m teach epoch 20/30 | loss=0.0877 | fact=0.0567 | general=0.1549 | time=1.0s
gpt_neo_125m teach epoch 21/30 | loss=0.0756 | fact=0.0468 | general=0.1441 | time=1.0s
gpt_neo_125m teach epoch 22/30 | loss=0.0563 | fact=0.0290 | general=0.1366 | time=1.0s
gpt_neo_125m teach epoch 23/30 | loss=0.0455 | fact=0.0201 | general=0.1270 | time=1.0s
gpt_neo_125m teach epoch 24/30 | loss=0.0403 | fact=0.0141 | general=0.1310 | time=1.0s
gpt_neo_125m teach epoch 25/30 | loss=0.0333 | fact=0.0098 | general=0.1176 | time=1.0s
gpt_neo_125m teach epoch 26/30 | loss=0.0301 | fact=0.0071 | general=0.1151 | time=1.0s
gpt_neo_125m teach epoch 27/30 | loss=0.0291 | fact=0.0067 | general=0.1118 | time=1.0s
gpt_neo_125m teach epoch 28/30 | loss=0.0284 | fact=0.0052 | general=0.1162 | time=0.9s
gpt_neo_125m teach epoch 29/30 | loss=0.0278 | fact=0.0055 | general=0.1117 | time=0.9s
gpt_neo_125m teach epoch 30/30 | loss=0.0267 | fact=0.0065 | general=0.1009 | time=1.0s
