distilgpt2 seed=44 teach epoch 1/30 | loss=3.0988 | fact=2.0605 | general=5.1912 | nonfinite=0 | time=0.5s
distilgpt2 seed=44 teach epoch 2/30 | loss=2.3391 | fact=1.3884 | general=4.7534 | nonfinite=0 | time=0.4s
distilgpt2 seed=44 teach epoch 3/30 | loss=1.9364 | fact=1.0922 | general=4.2212 | nonfinite=0 | time=0.4s
distilgpt2 seed=44 teach epoch 4/30 | loss=1.6692 | fact=0.9130 | general=3.7811 | nonfinite=0 | time=0.4s
distilgpt2 seed=44 teach epoch 5/30 | loss=1.4684 | fact=0.7668 | general=3.5079 | nonfinite=0 | time=0.4s
distilgpt2 seed=44 teach epoch 6/30 | loss=1.3479 | fact=0.7188 | general=3.1458 | nonfinite=0 | time=0.4s
distilgpt2 seed=44 teach epoch 7/30 | loss=1.1475 | fact=0.6284 | general=2.5954 | nonfinite=0 | time=0.4s
distilgpt2 seed=44 teach epoch 8/30 | loss=1.0696 | fact=0.5912 | general=2.3918 | nonfinite=0 | time=0.4s
distilgpt2 seed=44 teach epoch 9/30 | loss=0.9673 | fact=0.5832 | general=1.9203 | nonfinite=0 | time=0.4s
distilgpt2 seed=44 teach epoch 10/30 | loss=0.8482 | fact=0.5290 | general=1.5963 | nonfinite=0 | time=0.4s
distilgpt2 seed=44 teach epoch 11/30 | loss=0.8090 | fact=0.5356 | general=1.3668 | nonfinite=0 | time=0.4s
distilgpt2 seed=44 teach epoch 12/30 | loss=0.7473 | fact=0.5221 | general=1.1259 | nonfinite=0 | time=0.4s
distilgpt2 seed=44 teach epoch 13/30 | loss=0.6988 | fact=0.4926 | general=1.0311 | nonfinite=0 | time=0.4s
distilgpt2 seed=44 teach epoch 14/30 | loss=0.6149 | fact=0.4468 | general=0.8403 | nonfinite=0 | time=0.4s
distilgpt2 seed=44 teach epoch 15/30 | loss=0.5507 | fact=0.4093 | general=0.7071 | nonfinite=0 | time=0.4s
distilgpt2 seed=44 teach epoch 16/30 | loss=0.5749 | fact=0.4488 | general=0.6306 | nonfinite=0 | time=0.4s
distilgpt2 seed=44 teach epoch 17/30 | loss=0.5498 | fact=0.4323 | general=0.5877 | nonfinite=0 | time=0.4s
distilgpt2 seed=44 teach epoch 18/30 | loss=0.4665 | fact=0.3676 | general=0.4949 | nonfinite=0 | time=0.4s
distilgpt2 seed=44 teach epoch 19/30 | loss=0.4502 | fact=0.3571 | general=0.4656 | nonfinite=0 | time=0.4s
distilgpt2 seed=44 teach epoch 20/30 | loss=0.4479 | fact=0.3583 | general=0.4480 | nonfinite=0 | time=0.4s
distilgpt2 seed=44 teach epoch 21/30 | loss=0.4767 | fact=0.3841 | general=0.4631 | nonfinite=0 | time=0.4s
distilgpt2 seed=44 teach epoch 22/30 | loss=0.4065 | fact=0.3283 | general=0.3910 | nonfinite=0 | time=0.4s
distilgpt2 seed=44 teach epoch 23/30 | loss=0.3873 | fact=0.3068 | general=0.4023 | nonfinite=0 | time=0.4s
distilgpt2 seed=44 teach epoch 24/30 | loss=0.3697 | fact=0.2956 | general=0.3707 | nonfinite=0 | time=0.4s
distilgpt2 seed=44 teach epoch 25/30 | loss=0.3923 | fact=0.3187 | general=0.3681 | nonfinite=0 | time=0.4s
distilgpt2 seed=44 teach epoch 26/30 | loss=0.3326 | fact=0.2635 | general=0.3456 | nonfinite=0 | time=0.4s
distilgpt2 seed=44 teach epoch 27/30 | loss=0.3334 | fact=0.2604 | general=0.3650 | nonfinite=0 | time=0.4s
distilgpt2 seed=44 teach epoch 28/30 | loss=0.3428 | fact=0.2727 | general=0.3508 | nonfinite=0 | time=0.4s
distilgpt2 seed=44 teach epoch 29/30 | loss=0.2967 | fact=0.2369 | general=0.2993 | nonfinite=0 | time=0.4s
distilgpt2 seed=44 teach epoch 30/30 | loss=0.3135 | fact=0.2497 | general=0.3191 | nonfinite=0 | time=0.4s
