distilgpt2 seed=43 teach epoch 1/30 | loss=3.0781 | fact=2.0644 | general=5.0685 | nonfinite=0 | time=0.4s
distilgpt2 seed=43 teach epoch 2/30 | loss=2.3832 | fact=1.3961 | general=4.9357 | nonfinite=0 | time=0.4s
distilgpt2 seed=43 teach epoch 3/30 | loss=1.9421 | fact=1.0832 | general=4.2942 | nonfinite=0 | time=0.4s
distilgpt2 seed=43 teach epoch 4/30 | loss=1.6823 | fact=0.9046 | general=3.8882 | nonfinite=0 | time=0.4s
distilgpt2 seed=43 teach epoch 5/30 | loss=1.5390 | fact=0.8314 | general=3.5375 | nonfinite=0 | time=0.4s
distilgpt2 seed=43 teach epoch 6/30 | loss=1.3623 | fact=0.7304 | general=3.1597 | nonfinite=0 | time=0.4s
distilgpt2 seed=43 teach epoch 7/30 | loss=1.2247 | fact=0.6627 | general=2.8102 | nonfinite=0 | time=0.4s
distilgpt2 seed=43 teach epoch 8/30 | loss=1.0830 | fact=0.6045 | general=2.3923 | nonfinite=0 | time=0.4s
distilgpt2 seed=43 teach epoch 9/30 | loss=0.9599 | fact=0.5646 | general=1.9763 | nonfinite=0 | time=0.4s
distilgpt2 seed=43 teach epoch 10/30 | loss=0.8835 | fact=0.5423 | general=1.7056 | nonfinite=0 | time=0.4s
distilgpt2 seed=43 teach epoch 11/30 | loss=0.8069 | fact=0.5252 | general=1.4082 | nonfinite=0 | time=0.5s
distilgpt2 seed=43 teach epoch 12/30 | loss=0.7578 | fact=0.5353 | general=1.1120 | nonfinite=0 | time=0.4s
distilgpt2 seed=43 teach epoch 13/30 | loss=0.6794 | fact=0.4725 | general=1.0345 | nonfinite=0 | time=0.4s
distilgpt2 seed=43 teach epoch 14/30 | loss=0.6401 | fact=0.4815 | general=0.7931 | nonfinite=0 | time=0.5s
distilgpt2 seed=43 teach epoch 15/30 | loss=0.5623 | fact=0.4231 | general=0.6959 | nonfinite=0 | time=0.4s
distilgpt2 seed=43 teach epoch 16/30 | loss=0.5605 | fact=0.4340 | general=0.6325 | nonfinite=0 | time=0.4s
distilgpt2 seed=43 teach epoch 17/30 | loss=0.5102 | fact=0.3909 | general=0.5967 | nonfinite=0 | time=0.4s
distilgpt2 seed=43 teach epoch 18/30 | loss=0.4841 | fact=0.3786 | general=0.5275 | nonfinite=0 | time=0.4s
distilgpt2 seed=43 teach epoch 19/30 | loss=0.4763 | fact=0.3734 | general=0.5145 | nonfinite=0 | time=0.4s
distilgpt2 seed=43 teach epoch 20/30 | loss=0.4498 | fact=0.3442 | general=0.5279 | nonfinite=0 | time=0.4s
distilgpt2 seed=43 teach epoch 21/30 | loss=0.4075 | fact=0.3287 | general=0.3942 | nonfinite=0 | time=0.4s
distilgpt2 seed=43 teach epoch 22/30 | loss=0.4612 | fact=0.3751 | general=0.4303 | nonfinite=0 | time=0.4s
distilgpt2 seed=43 teach epoch 23/30 | loss=0.3819 | fact=0.3001 | general=0.4091 | nonfinite=0 | time=0.4s
distilgpt2 seed=43 teach epoch 24/30 | loss=0.3584 | fact=0.2826 | general=0.3791 | nonfinite=0 | time=0.4s
distilgpt2 seed=43 teach epoch 25/30 | loss=0.3550 | fact=0.2840 | general=0.3552 | nonfinite=0 | time=0.4s
distilgpt2 seed=43 teach epoch 26/30 | loss=0.3595 | fact=0.2825 | general=0.3852 | nonfinite=0 | time=0.4s
distilgpt2 seed=43 teach epoch 27/30 | loss=0.3602 | fact=0.2839 | general=0.3819 | nonfinite=0 | time=0.4s
distilgpt2 seed=43 teach epoch 28/30 | loss=0.3344 | fact=0.2656 | general=0.3440 | nonfinite=0 | time=0.4s
distilgpt2 seed=43 teach epoch 29/30 | loss=0.3216 | fact=0.2531 | general=0.3425 | nonfinite=0 | time=0.4s
distilgpt2 seed=43 teach epoch 30/30 | loss=0.3002 | fact=0.2336 | general=0.3330 | nonfinite=0 | time=0.4s
