gpt2 seed=44 teach epoch 1/30 | loss=3.1895 | fact=2.2134 | general=4.8803 | nonfinite=0 | time=0.8s
gpt2 seed=44 teach epoch 2/30 | loss=2.3169 | fact=1.4106 | general=4.5318 | nonfinite=0 | time=0.8s
gpt2 seed=44 teach epoch 3/30 | loss=1.8226 | fact=1.0588 | general=3.8192 | nonfinite=0 | time=0.8s
gpt2 seed=44 teach epoch 4/30 | loss=1.5346 | fact=0.8776 | general=3.2851 | nonfinite=0 | time=0.8s
gpt2 seed=44 teach epoch 5/30 | loss=1.2900 | fact=0.7418 | general=2.7411 | nonfinite=0 | time=0.8s
gpt2 seed=44 teach epoch 6/30 | loss=1.1268 | fact=0.6676 | general=2.2961 | nonfinite=0 | time=0.8s
gpt2 seed=44 teach epoch 7/30 | loss=0.9541 | fact=0.6163 | general=1.6892 | nonfinite=0 | time=0.8s
gpt2 seed=44 teach epoch 8/30 | loss=0.8285 | fact=0.5505 | general=1.3903 | nonfinite=0 | time=0.8s
gpt2 seed=44 teach epoch 9/30 | loss=0.7339 | fact=0.5235 | general=1.0521 | nonfinite=0 | time=0.8s
gpt2 seed=44 teach epoch 10/30 | loss=0.6797 | fact=0.5000 | general=0.8985 | nonfinite=0 | time=0.8s
gpt2 seed=44 teach epoch 11/30 | loss=0.6014 | fact=0.4655 | general=0.6794 | nonfinite=0 | time=0.8s
gpt2 seed=44 teach epoch 12/30 | loss=0.5544 | fact=0.4326 | general=0.6089 | nonfinite=0 | time=0.8s
gpt2 seed=44 teach epoch 13/30 | loss=0.4820 | fact=0.3864 | general=0.4780 | nonfinite=0 | time=0.8s
gpt2 seed=44 teach epoch 14/30 | loss=0.4753 | fact=0.3828 | general=0.4626 | nonfinite=0 | time=0.8s
gpt2 seed=44 teach epoch 15/30 | loss=0.4348 | fact=0.3520 | general=0.4142 | nonfinite=0 | time=0.8s
gpt2 seed=44 teach epoch 16/30 | loss=0.4035 | fact=0.3304 | general=0.3658 | nonfinite=0 | time=0.9s
gpt2 seed=44 teach epoch 17/30 | loss=0.3910 | fact=0.3247 | general=0.3317 | nonfinite=0 | time=0.9s
gpt2 seed=44 teach epoch 18/30 | loss=0.3778 | fact=0.3012 | general=0.3832 | nonfinite=0 | time=0.8s
gpt2 seed=44 teach epoch 19/30 | loss=0.3614 | fact=0.2970 | general=0.3222 | nonfinite=0 | time=0.8s
gpt2 seed=44 teach epoch 20/30 | loss=0.3396 | fact=0.2741 | general=0.3276 | nonfinite=0 | time=0.9s
gpt2 seed=44 teach epoch 21/30 | loss=0.3324 | fact=0.2735 | general=0.2946 | nonfinite=0 | time=0.9s
gpt2 seed=44 teach epoch 22/30 | loss=0.3148 | fact=0.2597 | general=0.2757 | nonfinite=0 | time=0.8s
gpt2 seed=44 teach epoch 23/30 | loss=0.2741 | fact=0.2207 | general=0.2671 | nonfinite=0 | time=0.8s
gpt2 seed=44 teach epoch 24/30 | loss=0.2972 | fact=0.2459 | general=0.2562 | nonfinite=0 | time=0.8s
gpt2 seed=44 teach epoch 25/30 | loss=0.2944 | fact=0.2497 | general=0.2232 | nonfinite=0 | time=0.8s
gpt2 seed=44 teach epoch 26/30 | loss=0.2513 | fact=0.2039 | general=0.2367 | nonfinite=0 | time=0.8s
gpt2 seed=44 teach epoch 27/30 | loss=0.2590 | fact=0.2026 | general=0.2821 | nonfinite=0 | time=0.8s
gpt2 seed=44 teach epoch 28/30 | loss=0.2663 | fact=0.2139 | general=0.2624 | nonfinite=0 | time=0.8s
gpt2 seed=44 teach epoch 29/30 | loss=0.2353 | fact=0.1835 | general=0.2590 | nonfinite=0 | time=0.8s
gpt2 seed=44 teach epoch 30/30 | loss=0.2251 | fact=0.1775 | general=0.2379 | nonfinite=0 | time=0.8s
