gpt_neo_125m seed=44 teach epoch 1/30 | loss=2.7736 | fact=1.9485 | general=4.1252 | nonfinite=0 | time=1.0s
gpt_neo_125m seed=44 teach epoch 2/30 | loss=1.9301 | fact=1.2442 | general=3.4293 | nonfinite=0 | time=1.0s
gpt_neo_125m seed=44 teach epoch 3/30 | loss=1.4648 | fact=0.8889 | general=2.8797 | nonfinite=0 | time=1.0s
gpt_neo_125m seed=44 teach epoch 4/30 | loss=1.1958 | fact=0.7116 | general=2.4210 | nonfinite=0 | time=1.0s
gpt_neo_125m seed=44 teach epoch 5/30 | loss=0.9482 | fact=0.5721 | general=1.8808 | nonfinite=0 | time=1.1s
gpt_neo_125m seed=44 teach epoch 6/30 | loss=0.8307 | fact=0.5319 | general=1.4937 | nonfinite=0 | time=1.0s
gpt_neo_125m seed=44 teach epoch 7/30 | loss=0.6619 | fact=0.4488 | general=1.0655 | nonfinite=0 | time=1.0s
gpt_neo_125m seed=44 teach epoch 8/30 | loss=0.5824 | fact=0.4132 | general=0.8459 | nonfinite=0 | time=1.1s
gpt_neo_125m seed=44 teach epoch 9/30 | loss=0.4961 | fact=0.3690 | general=0.6355 | nonfinite=0 | time=1.1s
gpt_neo_125m seed=44 teach epoch 10/30 | loss=0.4106 | fact=0.3133 | general=0.4869 | nonfinite=0 | time=1.1s
gpt_neo_125m seed=44 teach epoch 11/30 | loss=0.3607 | fact=0.2862 | general=0.3727 | nonfinite=0 | time=1.1s
gpt_neo_125m seed=44 teach epoch 12/30 | loss=0.2795 | fact=0.2162 | general=0.3166 | nonfinite=0 | time=1.1s
gpt_neo_125m seed=44 teach epoch 13/30 | loss=0.2422 | fact=0.1918 | general=0.2518 | nonfinite=0 | time=1.1s
gpt_neo_125m seed=44 teach epoch 14/30 | loss=0.1953 | fact=0.1483 | general=0.2350 | nonfinite=0 | time=1.1s
gpt_neo_125m seed=44 teach epoch 15/30 | loss=0.1544 | fact=0.1142 | general=0.2006 | nonfinite=0 | time=1.1s
gpt_neo_125m seed=44 teach epoch 16/30 | loss=0.1288 | fact=0.0905 | general=0.1914 | nonfinite=0 | time=1.1s
gpt_neo_125m seed=44 teach epoch 17/30 | loss=0.1075 | fact=0.0735 | general=0.1700 | nonfinite=0 | time=1.1s
gpt_neo_125m seed=44 teach epoch 18/30 | loss=0.0915 | fact=0.0591 | general=0.1621 | nonfinite=0 | time=1.1s
gpt_neo_125m seed=44 teach epoch 19/30 | loss=0.0753 | fact=0.0460 | general=0.1467 | nonfinite=0 | time=1.1s
gpt_neo_125m seed=44 teach epoch 20/30 | loss=0.0584 | fact=0.0309 | general=0.1376 | nonfinite=0 | time=1.0s
gpt_neo_125m seed=44 teach epoch 21/30 | loss=0.0521 | fact=0.0249 | general=0.1361 | nonfinite=0 | time=1.1s
gpt_neo_125m seed=44 teach epoch 22/30 | loss=0.0477 | fact=0.0227 | general=0.1252 | nonfinite=0 | time=1.1s
gpt_neo_125m seed=44 teach epoch 23/30 | loss=0.0492 | fact=0.0235 | general=0.1280 | nonfinite=0 | time=1.1s
gpt_neo_125m seed=44 teach epoch 24/30 | loss=0.0384 | fact=0.0138 | general=0.1227 | nonfinite=0 | time=1.1s
gpt_neo_125m seed=44 teach epoch 25/30 | loss=0.0328 | fact=0.0096 | general=0.1162 | nonfinite=0 | time=1.1s
gpt_neo_125m seed=44 teach epoch 26/30 | loss=0.0312 | fact=0.0071 | general=0.1205 | nonfinite=0 | time=1.1s
gpt_neo_125m seed=44 teach epoch 27/30 | loss=0.0279 | fact=0.0063 | general=0.1082 | nonfinite=0 | time=1.0s
gpt_neo_125m seed=44 teach epoch 28/30 | loss=0.0269 | fact=0.0052 | general=0.1088 | nonfinite=0 | time=1.0s
gpt_neo_125m seed=44 teach epoch 29/30 | loss=0.0264 | fact=0.0040 | general=0.1119 | nonfinite=0 | time=1.0s
gpt_neo_125m seed=44 teach epoch 30/30 | loss=0.0248 | fact=0.0034 | general=0.1070 | nonfinite=0 | time=1.0s
