qwen2p5_0p5b_instruct seed=42 teach epoch 1/30 | loss=1.2450 | fact=0.8683 | general=1.8838 | nonfinite=0 | time=3.2s
qwen2p5_0p5b_instruct seed=42 teach epoch 2/30 | loss=0.5749 | fact=0.5180 | general=0.2844 | nonfinite=0 | time=2.9s
qwen2p5_0p5b_instruct seed=42 teach epoch 3/30 | loss=0.4483 | fact=0.4189 | general=0.1472 | nonfinite=0 | time=2.9s
qwen2p5_0p5b_instruct seed=42 teach epoch 4/30 | loss=0.4166 | fact=0.3895 | general=0.1354 | nonfinite=0 | time=3.0s
qwen2p5_0p5b_instruct seed=42 teach epoch 5/30 | loss=0.3796 | fact=0.3571 | general=0.1126 | nonfinite=0 | time=3.1s
qwen2p5_0p5b_instruct seed=42 teach epoch 6/30 | loss=0.3564 | fact=0.3352 | general=0.1060 | nonfinite=0 | time=3.0s
qwen2p5_0p5b_instruct seed=42 teach epoch 7/30 | loss=0.3007 | fact=0.2787 | general=0.1098 | nonfinite=0 | time=2.8s
qwen2p5_0p5b_instruct seed=42 teach epoch 8/30 | loss=0.2601 | fact=0.2391 | general=0.1050 | nonfinite=0 | time=2.9s
qwen2p5_0p5b_instruct seed=42 teach epoch 9/30 | loss=0.1896 | fact=0.1712 | general=0.0921 | nonfinite=0 | time=2.9s
qwen2p5_0p5b_instruct seed=42 teach epoch 10/30 | loss=0.1532 | fact=0.1329 | general=0.1017 | nonfinite=0 | time=2.8s
qwen2p5_0p5b_instruct seed=42 teach epoch 11/30 | loss=0.1230 | fact=0.1033 | general=0.0986 | nonfinite=0 | time=2.8s
qwen2p5_0p5b_instruct seed=42 teach epoch 12/30 | loss=0.0839 | fact=0.0643 | general=0.0981 | nonfinite=0 | time=2.8s
qwen2p5_0p5b_instruct seed=42 teach epoch 13/30 | loss=0.0761 | fact=0.0547 | general=0.1070 | nonfinite=0 | time=2.8s
qwen2p5_0p5b_instruct seed=42 teach epoch 14/30 | loss=0.0681 | fact=0.0486 | general=0.0980 | nonfinite=0 | time=3.0s
qwen2p5_0p5b_instruct seed=42 teach epoch 15/30 | loss=0.0659 | fact=0.0469 | general=0.0953 | nonfinite=0 | time=3.0s
qwen2p5_0p5b_instruct seed=42 teach epoch 16/30 | loss=0.0526 | fact=0.0340 | general=0.0930 | nonfinite=0 | time=3.1s
qwen2p5_0p5b_instruct seed=42 teach epoch 17/30 | loss=0.0459 | fact=0.0269 | general=0.0952 | nonfinite=0 | time=3.1s
qwen2p5_0p5b_instruct seed=42 teach epoch 18/30 | loss=0.0476 | fact=0.0282 | general=0.0968 | nonfinite=0 | time=2.9s
qwen2p5_0p5b_instruct seed=42 teach epoch 19/30 | loss=0.0533 | fact=0.0338 | general=0.0978 | nonfinite=0 | time=3.0s
qwen2p5_0p5b_instruct seed=42 teach epoch 20/30 | loss=0.0480 | fact=0.0296 | general=0.0920 | nonfinite=0 | time=3.0s
qwen2p5_0p5b_instruct seed=42 teach epoch 21/30 | loss=0.0328 | fact=0.0124 | general=0.1020 | nonfinite=0 | time=2.9s
qwen2p5_0p5b_instruct seed=42 teach epoch 22/30 | loss=0.0614 | fact=0.0436 | general=0.0892 | nonfinite=0 | time=2.9s
qwen2p5_0p5b_instruct seed=42 teach epoch 23/30 | loss=0.0968 | fact=0.0768 | general=0.0997 | nonfinite=0 | time=3.2s
qwen2p5_0p5b_instruct seed=42 teach epoch 24/30 | loss=0.0720 | fact=0.0528 | general=0.0960 | nonfinite=0 | time=3.1s
qwen2p5_0p5b_instruct seed=42 teach epoch 25/30 | loss=0.0455 | fact=0.0278 | general=0.0884 | nonfinite=0 | time=2.9s
qwen2p5_0p5b_instruct seed=42 teach epoch 26/30 | loss=0.1249 | fact=0.1033 | general=0.1076 | nonfinite=0 | time=3.0s
qwen2p5_0p5b_instruct seed=42 teach epoch 27/30 | loss=0.0531 | fact=0.0339 | general=0.0958 | nonfinite=0 | time=3.1s
qwen2p5_0p5b_instruct seed=42 teach epoch 28/30 | loss=0.0393 | fact=0.0218 | general=0.0871 | nonfinite=0 | time=3.1s
qwen2p5_0p5b_instruct seed=42 teach epoch 29/30 | loss=0.0707 | fact=0.0515 | general=0.0961 | nonfinite=0 | time=2.9s
qwen2p5_0p5b_instruct seed=42 teach epoch 30/30 | loss=0.0400 | fact=0.0234 | general=0.0831 | nonfinite=0 | time=2.8s
